date,year,month,mine_id,mine_name,target_ore_tonnes,actual_ore_tonnes,waste_tonnes,stripping_ratio,target_mn_grade,actual_mn_grade,recovery_pct,recovered_mn_tonnes,working_days,scheduled_hours,operating_hours,downtime_hours,fleet_availability_pct,fleet_utilization_pct,tonnage_shortfall,shortfall_pct,shortfall_risk_status,power_outage_hours,is_synthetic
2024-10-01,2024,10,MOIL-DB-01,Dongri Buzurg Mine,35271,32198,100175,3.11,40.5,40.12,87.1,11251.4,26,520.0,339.2,180.8,87.9,74.2,3073,8.7,Moderate Warning,16.1,True
2024-11-01,2024,11,MOIL-DB-01,Dongri Buzurg Mine,34051,31778,77455,2.44,40.5,40.04,88.7,11286.1,25,500.0,287.8,212.2,78.2,73.6,2273,6.7,Moderate Warning,29.7,True
2024-12-01,2024,12,MOIL-DB-01,Dongri Buzurg Mine,35322,33766,106427,3.15,40.5,40.18,85.0,11532.1,25,500.0,357.4,142.6,87.5,81.7,1556,4.4,On Track,22.1,True
2025-01-01,2025,1,MOIL-DB-01,Dongri Buzurg Mine,35702,34123,101174,2.96,40.5,41.53,80.5,11407.9,26,520.0,313.7,206.3,85.7,70.4,1579,4.4,On Track,26.4,True
2025-02-01,2025,2,MOIL-DB-01,Dongri Buzurg Mine,36321,33450,102976,3.08,40.5,39.19,87.2,11431.1,26,520.0,322.3,197.7,77.0,80.5,2871,7.9,Moderate Warning,29.3,True
2025-03-01,2025,3,MOIL-DB-01,Dongri Buzurg Mine,35841,33098,78770,2.38,40.5,38.26,88.7,11232.3,26,520.0,380.3,139.7,83.4,87.7,2743,7.7,Moderate Warning,20.1,True
2025-04-01,2025,4,MOIL-DB-01,Dongri Buzurg Mine,35199,35050,92153,2.63,40.5,41.18,89.5,12918.1,25,500.0,329.5,170.5,88.1,74.8,149,0.4,On Track,31.1,True
2025-05-01,2025,5,MOIL-DB-01,Dongri Buzurg Mine,36263,33925,83963,2.47,40.5,39.34,82.4,10997.2,27,540.0,393.8,146.2,86.4,84.4,2338,6.4,Moderate Warning,32.6,True
2025-06-01,2025,6,MOIL-DB-01,Dongri Buzurg Mine,34568,31141,106231,3.41,40.5,40.16,91.0,11380.7,25,500.0,313.2,186.8,76.1,82.3,3427,9.9,Moderate Warning,27.4,True
2025-07-01,2025,7,MOIL-DB-01,Dongri Buzurg Mine,36499,25106,56906,2.27,40.5,40.72,90.3,9231.5,22,440.0,276.8,163.2,74.9,84.0,11393,31.2,Critical Shortfall,16.5,True
2025-08-01,2025,8,MOIL-DB-01,Dongri Buzurg Mine,34871,20402,69160,3.39,40.5,39.51,94.0,7577.2,22,440.0,218.5,221.5,66.3,74.9,14469,41.5,Critical Shortfall,12.8,True
2025-09-01,2025,9,MOIL-DB-01,Dongri Buzurg Mine,35342,24211,66660,2.75,40.5,43.47,87.7,9230.0,22,440.0,247.6,192.4,77.1,73.0,11131,31.5,Critical Shortfall,19.6,True
2025-10-01,2025,10,MOIL-DB-01,Dongri Buzurg Mine,33419,31915,102755,3.22,40.5,40.68,85.9,11152.4,26,520.0,350.9,169.1,81.2,83.1,1504,4.5,On Track,34.0,True
2025-11-01,2025,11,MOIL-DB-01,Dongri Buzurg Mine,35290,32407,75342,2.32,40.5,38.94,85.0,10726.4,25,500.0,343.2,156.8,82.6,83.1,2883,8.2,Moderate Warning,25.3,True
2025-12-01,2025,12,MOIL-DB-01,Dongri Buzurg Mine,35302,37227,130204,3.5,40.5,39.65,92.4,13638.7,25,500.0,358.5,141.5,90.2,79.5,-1925,-5.5,On Track,13.7,True
2023-01-01,2023,1,MOIL-BL-03,Balaghat Mine,45738,40938,111971,2.74,43.8,43.39,88.1,15649.2,25,500.0,341.9,158.1,81.3,84.1,4800,10.5,Moderate Warning,30.4,True
2023-02-01,2023,2,MOIL-BL-03,Balaghat Mine,46630,43454,162325,3.74,43.8,44.53,93.5,18092.3,27,540.0,370.7,169.3,83.2,82.5,3176,6.8,Moderate Warning,5.5,True
2023-03-01,2023,3,MOIL-BL-03,Balaghat Mine,46139,42911,94435,2.2,43.8,42.82,89.9,16518.7,26,520.0,320.6,199.4,84.8,72.7,3228,7.0,Moderate Warning,30.4,True
2023-04-01,2023,4,MOIL-BL-03,Balaghat Mine,46014,44491,105628,2.37,43.8,43.65,85.7,16643.2,25,500.0,344.0,156.0,91.0,75.6,1523,3.3,On Track,27.3,True
2023-05-01,2023,5,MOIL-BL-03,Balaghat Mine,50392,47045,108489,2.31,43.8,42.67,84.3,16922.5,26,520.0,320.8,199.2,85.8,71.9,3347,6.6,Moderate Warning,30.6,True
2023-06-01,2023,6,MOIL-BL-03,Balaghat Mine,49479,47508,131237,2.76,43.8,44.25,87.8,18457.6,25,500.0,359.1,140.9,81.9,87.7,1971,4.0,On Track,34.3,True
2023-07-01,2023,7,MOIL-BL-03,Balaghat Mine,49222,33926,101023,2.98,43.8,44.64,93.1,14099.6,22,440.0,274.4,165.6,74.6,83.6,15296,31.1,Critical Shortfall,21.9,True
2023-08-01,2023,8,MOIL-BL-03,Balaghat Mine,47306,29366,88022,3.0,43.8,44.08,89.5,11585.4,22,440.0,235.7,204.3,68.5,78.2,17940,37.9,Critical Shortfall,30.7,True
2023-09-01,2023,9,MOIL-BL-03,Balaghat Mine,49924,31388,116833,3.72,43.8,43.98,85.6,11816.6,22,440.0,233.6,206.4,75.2,70.6,18536,37.1,Critical Shortfall,32.5,True
2023-10-01,2023,10,MOIL-BL-03,Balaghat Mine,48269,45089,127790,2.83,43.8,43.51,86.7,17009.0,26,520.0,393.1,126.9,86.1,87.8,3180,6.6,Moderate Warning,10.2,True
2023-11-01,2023,11,MOIL-BL-03,Balaghat Mine,47702,44953,161732,3.6,43.8,43.29,89.2,17358.5,26,520.0,323.9,196.1,85.1,73.2,2749,5.8,Moderate Warning,25.0,True
2023-12-01,2023,12,MOIL-BL-03,Balaghat Mine,48292,43873,129125,2.94,43.8,43.63,88.6,16959.6,26,520.0,324.6,195.4,86.7,72.0,4419,9.2,Moderate Warning,31.3,True
2024-01-01,2024,1,MOIL-BL-03,Balaghat Mine,49727,39722,147763,3.72,43.8,46.18,93.5,17151.3,26,520.0,290.5,229.5,76.1,73.4,10005,20.1,Critical Shortfall,30.3,True
2024-02-01,2024,2,MOIL-BL-03,Balaghat Mine,48810,45210,132088,2.92,43.8,42.4,89.7,17194.6,26,520.0,343.5,176.5,79.5,83.1,3600,7.4,Moderate Warning,7.2,True
2024-03-01,2024,3,MOIL-BL-03,Balaghat Mine,49051,51584,192440,3.73,43.8,45.86,84.2,19918.7,25,500.0,370.6,129.4,89.2,83.1,-2533,-5.2,On Track,31.5,True
2024-04-01,2024,4,MOIL-BL-03,Balaghat Mine,47076,45635,153360,3.36,43.8,43.86,87.5,17513.6,27,540.0,373.7,166.3,82.1,84.3,1441,3.1,On Track,28.3,True
2024-05-01,2024,5,MOIL-BL-03,Balaghat Mine,49089,49693,186950,3.76,43.8,43.0,86.0,18376.5,26,520.0,341.1,178.9,81.7,80.3,-604,-1.2,On Track,25.3,True
2024-06-01,2024,6,MOIL-BL-03,Balaghat Mine,49472,48981,153173,3.13,43.8,43.97,83.7,18026.4,25,500.0,350.3,149.7,88.8,78.9,491,1.0,On Track,5.3,True
2024-07-01,2024,7,MOIL-BL-03,Balaghat Mine,47213,31148,68888,2.21,43.8,44.66,84.2,11712.8,22,440.0,274.3,165.7,76.5,81.5,16065,34.0,Critical Shortfall,7.2,True
2024-08-01,2024,8,MOIL-BL-03,Balaghat Mine,48705,31062,115337,3.71,43.8,43.64,88.3,11969.5,22,440.0,259.5,180.5,77.8,75.8,17643,36.2,Critical Shortfall,29.3,True
2024-09-01,2024,9,MOIL-BL-03,Balaghat Mine,50282,33174,99385,3.0,43.8,43.01,89.5,12770.0,22,440.0,269.9,170.1,73.1,83.9,17108,34.0,Critical Shortfall,8.7,True
2024-10-01,2024,10,MOIL-BL-03,Balaghat Mine,49461,48327,109362,2.26,43.8,44.54,89.1,19178.6,25,500.0,322.1,177.9,85.9,75.0,1134,2.3,On Track,25.1,True
2024-11-01,2024,11,MOIL-BL-03,Balaghat Mine,46056,39396,101204,2.57,43.8,44.66,85.7,15078.3,25,500.0,306.8,193.2,79.9,76.8,6660,14.5,Moderate Warning,33.9,True
2024-12-01,2024,12,MOIL-BL-03,Balaghat Mine,48592,43461,147603,3.4,43.8,41.85,88.2,16042.2,25,500.0,300.3,199.7,78.6,76.4,5131,10.6,Moderate Warning,16.4,True
2025-01-01,2025,1,MOIL-BL-03,Balaghat Mine,48384,45697,112996,2.47,43.8,44.21,85.0,17172.2,27,540.0,332.8,207.2,87.3,70.6,2687,5.6,Moderate Warning,14.3,True
2025-02-01,2025,2,MOIL-BL-03,Balaghat Mine,48712,45127,152730,3.38,43.8,43.87,83.3,16491.1,25,500.0,364.5,135.5,83.5,87.3,3585,7.4,Moderate Warning,21.6,True
2025-03-01,2025,3,MOIL-BL-03,Balaghat Mine,48985,42054,138693,3.3,43.8,42.06,87.7,15512.3,26,520.0,312.8,207.2,80.1,75.1,6931,14.1,Moderate Warning,11.8,True
2025-04-01,2025,4,MOIL-BL-03,Balaghat Mine,49574,43526,148090,3.4,43.8,45.14,89.5,17584.6,25,500.0,358.0,142.0,82.3,87.0,6048,12.2,Moderate Warning,10.1,True
2025-05-01,2025,5,MOIL-BL-03,Balaghat Mine,49918,44155,140641,3.19,43.8,43.65,90.2,17384.8,27,540.0,357.6,182.4,79.5,83.3,5763,11.5,Moderate Warning,26.7,True
2025-06-01,2025,6,MOIL-BL-03,Balaghat Mine,48987,51290,123255,2.4,43.8,43.24,86.8,19250.3,26,520.0,379.2,140.8,90.7,80.4,-2303,-4.7,On Track,20.4,True
2025-07-01,2025,7,MOIL-BL-03,Balaghat Mine,46672,27714,92259,3.33,43.8,43.66,85.8,10381.7,22,440.0,250.4,189.6,72.5,78.5,18958,40.6,Critical Shortfall,6.3,True
2025-08-01,2025,8,MOIL-BL-03,Balaghat Mine,46670,34123,117685,3.45,43.8,44.73,91.3,13935.3,22,440.0,280.8,159.2,81.0,78.8,12547,26.9,Critical Shortfall,33.1,True
2025-09-01,2025,9,MOIL-BL-03,Balaghat Mine,49480,29996,79874,2.66,43.8,42.52,89.1,11364.1,22,440.0,267.7,172.3,71.5,85.1,19484,39.4,Critical Shortfall,11.9,True
2025-10-01,2025,10,MOIL-BL-03,Balaghat Mine,50100,41280,115856,2.81,43.8,44.38,84.9,15553.7,26,520.0,318.3,201.7,77.2,79.3,8820,17.6,Critical Shortfall,27.7,True
2025-11-01,2025,11,MOIL-BL-03,Balaghat Mine,47838,46219,156295,3.38,43.8,44.95,84.1,17472.1,27,540.0,360.0,180.0,86.7,76.9,1619,3.4,On Track,30.7,True
2025-12-01,2025,12,MOIL-BL-03,Balaghat Mine,47180,48358,136547,2.82,43.8,44.02,88.7,18881.7,27,540.0,402.5,137.5,88.0,84.7,-1178,-2.5,On Track,22.3,True
2023-01-01,2023,1,MOIL-GM-02,Gumgaon Mine,24875,23883,68626,2.87,36.2,35.92,92.9,7969.7,26,520.0,319.7,200.3,82.3,74.7,992,4.0,On Track,25.9,True
2023-02-01,2023,2,MOIL-GM-02,Gumgaon Mine,24491,24855,77443,3.12,36.2,36.04,88.4,7918.6,26,520.0,368.8,151.2,88.1,80.5,-364,-1.5,On Track,24.2,True
2023-03-01,2023,3,MOIL-GM-02,Gumgaon Mine,24451,27424,78184,2.85,36.2,36.6,81.9,8220.5,27,540.0,361.2,178.8,91.5,73.1,-2973,-12.2,On Track,6.0,True
2023-04-01,2023,4,MOIL-GM-02,Gumgaon Mine,22879,20643,65336,3.17,36.2,35.73,84.1,6203.0,27,540.0,377.8,162.2,82.6,84.7,2236,9.8,Moderate Warning,32.8,True
2023-05-01,2023,5,MOIL-GM-02,Gumgaon Mine,23402,24137,79402,3.29,36.2,37.45,91.6,8280.0,25,500.0,376.4,123.6,91.8,82.0,-735,-3.1,On Track,26.4,True
2023-06-01,2023,6,MOIL-GM-02,Gumgaon Mine,24289,21862,63561,2.91,36.2,35.22,89.9,6922.1,27,540.0,313.7,226.3,82.4,70.5,2427,10.0,Moderate Warning,11.5,True
2023-07-01,2023,7,MOIL-GM-02,Gumgaon Mine,23528,14694,41127,2.8,36.2,36.53,87.3,4686.0,22,440.0,259.7,180.3,75.2,78.5,8834,37.5,Critical Shortfall,12.0,True
2023-08-01,2023,8,MOIL-GM-02,Gumgaon Mine,24499,14871,48954,3.29,36.2,37.69,82.2,4607.2,22,440.0,251.8,188.2,65.1,87.9,9628,39.3,Critical Shortfall,12.6,True
2023-09-01,2023,9,MOIL-GM-02,Gumgaon Mine,24806,16456,55717,3.39,36.2,35.84,84.4,4977.8,22,440.0,257.2,182.8,80.2,72.9,8350,33.7,Critical Shortfall,17.7,True
2023-10-01,2023,10,MOIL-GM-02,Gumgaon Mine,23027,23391,56998,2.44,36.2,37.58,87.7,7709.1,26,520.0,370.0,150.0,85.0,83.7,-364,-1.6,On Track,14.6,True
2023-11-01,2023,11,MOIL-GM-02,Gumgaon Mine,23278,21813,63341,2.9,36.2,34.77,90.4,6856.3,25,500.0,343.7,156.3,85.6,80.3,1465,6.3,Moderate Warning,8.4,True
2023-12-01,2023,12,MOIL-GM-02,Gumgaon Mine,24039,23342,68243,2.92,36.2,35.29,87.2,7183.0,26,520.0,337.4,182.6,83.4,77.8,697,2.9,On Track,20.9,True
2024-01-01,2024,1,MOIL-GM-02,Gumgaon Mine,24720,24585,91924,3.74,36.2,36.87,83.4,7559.8,27,540.0,382.5,157.5,86.7,81.7,135,0.5,On Track,14.3,True
2024-02-01,2024,2,MOIL-GM-02,Gumgaon Mine,22910,23564,74746,3.17,36.2,35.06,89.1,7361.0,27,540.0,373.9,166.1,89.0,77.8,-654,-2.9,On Track,10.6,True
2024-03-01,2024,3,MOIL-GM-02,Gumgaon Mine,23965,22643,62515,2.76,36.2,37.59,90.4,7694.4,27,540.0,331.4,208.6,79.8,76.9,1322,5.5,Moderate Warning,14.9,True
2024-04-01,2024,4,MOIL-GM-02,Gumgaon Mine,24311,22797,53862,2.36,36.2,38.29,89.5,7812.4,27,540.0,346.9,193.1,79.4,80.9,1514,6.2,Moderate Warning,25.4,True
2024-05-01,2024,5,MOIL-GM-02,Gumgaon Mine,24046,24140,75778,3.14,36.2,35.7,86.3,7437.3,27,540.0,383.6,156.4,86.2,82.4,-94,-0.4,On Track,12.8,True
2024-06-01,2024,6,MOIL-GM-02,Gumgaon Mine,24900,24232,66107,2.73,36.2,33.54,87.7,7127.7,27,540.0,334.1,205.9,82.5,75.0,668,2.7,On Track,24.4,True
2024-07-01,2024,7,MOIL-GM-02,Gumgaon Mine,24411,16216,56405,3.48,36.2,36.32,93.1,5483.3,22,440.0,246.5,193.5,75.3,74.4,8195,33.6,Critical Shortfall,33.7,True
2024-08-01,2024,8,MOIL-GM-02,Gumgaon Mine,24340,15734,41930,2.66,36.2,36.36,89.1,5097.3,22,440.0,265.0,175.0,71.1,84.7,8606,35.4,Critical Shortfall,17.2,True
2024-09-01,2024,9,MOIL-GM-02,Gumgaon Mine,23542,16861,37565,2.23,36.2,37.27,82.1,5159.2,22,440.0,274.2,165.8,77.9,80.0,6681,28.4,Critical Shortfall,10.5,True
2024-10-01,2024,10,MOIL-GM-02,Gumgaon Mine,24675,24804,72405,2.92,36.2,36.48,86.9,7863.1,26,520.0,362.6,157.4,87.6,79.6,-129,-0.5,On Track,13.4,True
2024-11-01,2024,11,MOIL-GM-02,Gumgaon Mine,23083,21670,58214,2.69,36.2,36.11,88.7,6940.8,27,540.0,425.0,115.0,91.2,86.3,1413,6.1,Moderate Warning,23.0,True
2024-12-01,2024,12,MOIL-GM-02,Gumgaon Mine,24554,23986,67516,2.81,36.2,35.74,86.7,7432.4,26,520.0,370.6,149.4,89.3,79.8,568,2.3,On Track,28.8,True
2025-01-01,2025,1,MOIL-GM-02,Gumgaon Mine,24577,22919,62506,2.73,36.2,36.2,89.2,7400.6,25,500.0,295.4,204.6,82.4,71.7,1658,6.7,Moderate Warning,19.2,True
2025-02-01,2025,2,MOIL-GM-02,Gumgaon Mine,24030,21303,56820,2.67,36.2,36.75,85.2,6670.2,25,500.0,348.3,151.7,80.9,86.1,2727,11.3,Moderate Warning,5.8,True
2025-03-01,2025,3,MOIL-GM-02,Gumgaon Mine,23615,24112,72674,3.01,36.2,34.26,88.1,7277.7,26,520.0,376.1,143.9,88.0,82.2,-497,-2.1,On Track,16.6,True
2025-04-01,2025,4,MOIL-GM-02,Gumgaon Mine,23199,20345,54422,2.67,36.2,36.09,84.3,6189.7,27,540.0,315.3,224.7,81.2,71.9,2854,12.3,Moderate Warning,19.0,True
2025-05-01,2025,5,MOIL-GM-02,Gumgaon Mine,22874,22938,80387,3.5,36.2,34.23,86.6,6799.6,25,500.0,342.8,157.2,87.0,78.8,-64,-0.3,On Track,9.7,True
2025-06-01,2025,6,MOIL-GM-02,Gumgaon Mine,23164,19751,55257,2.8,36.2,36.72,87.6,6353.2,27,540.0,362.2,177.8,76.3,87.9,3413,14.7,Moderate Warning,25.2,True
2025-07-01,2025,7,MOIL-GM-02,Gumgaon Mine,24002,17381,38693,2.23,36.2,37.18,91.1,5887.1,22,440.0,286.1,153.9,82.0,79.3,6621,27.6,Critical Shortfall,25.6,True
2025-08-01,2025,8,MOIL-GM-02,Gumgaon Mine,22906,13386,50715,3.79,36.2,35.5,92.2,4381.4,22,440.0,257.2,182.8,67.5,86.6,9520,41.6,Critical Shortfall,32.6,True
2025-09-01,2025,9,MOIL-GM-02,Gumgaon Mine,23829,14668,50827,3.47,36.2,35.16,89.9,4636.4,22,440.0,249.3,190.7,66.2,85.6,9161,38.4,Critical Shortfall,30.8,True
2025-10-01,2025,10,MOIL-GM-02,Gumgaon Mine,25183,22190,54776,2.47,36.2,36.51,86.7,7024.1,26,520.0,320.8,199.2,85.1,72.5,2993,11.9,Moderate Warning,19.9,True
2025-11-01,2025,11,MOIL-GM-02,Gumgaon Mine,24644,24406,54017,2.21,36.2,37.26,83.6,7602.3,25,500.0,317.8,182.2,83.3,76.3,238,1.0,On Track,28.5,True
2025-12-01,2025,12,MOIL-GM-02,Gumgaon Mine,22990,22231,52336,2.35,36.2,37.05,87.7,7223.5,27,540.0,356.9,183.1,81.6,81.0,759,3.3,On Track,10.3,True
2023-01-01,2023,1,MOIL-UK-04,Ukwa Mine,19465,19633,52907,2.69,33.4,34.5,83.3,5642.2,27,540.0,393.2,146.8,83.5,87.2,-168,-0.9,On Track,32.5,True
2023-02-01,2023,2,MOIL-UK-04,Ukwa Mine,19677,15919,43895,2.76,33.4,33.59,87.2,4662.8,25,500.0,334.4,165.6,77.4,86.4,3758,19.1,Critical Shortfall,11.5,True
2023-03-01,2023,3,MOIL-UK-04,Ukwa Mine,20519,18078,56370,3.12,33.4,35.12,85.4,5422.0,27,540.0,339.2,200.8,76.5,82.1,2441,11.9,Moderate Warning,25.2,True
2023-04-01,2023,4,MOIL-UK-04,Ukwa Mine,19032,19255,67700,3.52,33.4,33.87,86.7,5654.3,25,500.0,325.6,174.4,89.2,73.0,-223,-1.2,On Track,19.9,True
2023-05-01,2023,5,MOIL-UK-04,Ukwa Mine,19616,19645,50725,2.58,33.4,32.19,90.5,5723.0,26,520.0,368.1,151.9,89.5,79.1,-29,-0.1,On Track,15.3,True
2023-06-01,2023,6,MOIL-UK-04,Ukwa Mine,20392,20450,49820,2.44,33.4,34.52,88.1,6219.3,27,540.0,352.0,188.0,84.1,77.5,-58,-0.3,On Track,25.6,True
2023-07-01,2023,7,MOIL-UK-04,Ukwa Mine,19672,12559,41890,3.34,33.4,33.92,86.0,3663.6,22,440.0,261.2,178.8,69.6,85.3,7113,36.2,Critical Shortfall,21.5,True
2023-08-01,2023,8,MOIL-UK-04,Ukwa Mine,19989,13052,40024,3.07,33.4,34.25,85.5,3822.1,22,440.0,237.2,202.8,76.8,70.2,6937,34.7,Critical Shortfall,14.1,True
2023-09-01,2023,9,MOIL-UK-04,Ukwa Mine,19942,12534,35525,2.83,33.4,35.55,86.4,3849.8,22,440.0,291.8,148.2,76.5,86.7,7408,37.1,Critical Shortfall,14.7,True
2023-10-01,2023,10,MOIL-UK-04,Ukwa Mine,20063,22444,75644,3.37,33.4,32.41,85.6,6226.6,25,500.0,386.1,113.9,91.5,84.4,-2381,-11.9,On Track,30.9,True
2023-11-01,2023,11,MOIL-UK-04,Ukwa Mine,20641,19555,58033,2.97,33.4,34.1,86.9,5794.7,26,520.0,335.5,184.5,89.0,72.5,1086,5.3,Moderate Warning,24.6,True
2023-12-01,2023,12,MOIL-UK-04,Ukwa Mine,19248,18121,63144,3.48,33.4,34.06,87.7,5412.9,26,520.0,302.1,217.9,79.9,72.7,1127,5.9,Moderate Warning,11.9,True
2024-01-01,2024,1,MOIL-UK-04,Ukwa Mine,20961,20540,72170,3.51,33.4,33.29,91.8,6277.1,26,520.0,326.8,193.2,88.9,70.7,421,2.0,On Track,7.5,True
2024-02-01,2024,2,MOIL-UK-04,Ukwa Mine,19591,18405,69551,3.78,33.4,33.72,83.0,5151.1,27,540.0,315.8,224.2,81.0,72.2,1186,6.1,Moderate Warning,27.3,True
2024-03-01,2024,3,MOIL-UK-04,Ukwa Mine,20781,18299,69054,3.77,33.4,31.46,89.3,5140.9,25,500.0,304.9,195.1,84.8,71.9,2482,11.9,Moderate Warning,17.8,True
2024-04-01,2024,4,MOIL-UK-04,Ukwa Mine,20684,18210,45390,2.49,33.4,32.81,90.5,5407.1,27,540.0,370.8,169.2,80.7,85.1,2474,12.0,Moderate Warning,26.2,True
2024-05-01,2024,5,MOIL-UK-04,Ukwa Mine,20782,21771,66964,3.08,33.4,34.4,87.1,6523.1,25,500.0,340.7,159.3,85.5,79.7,-989,-4.8,On Track,12.0,True
2024-06-01,2024,6,MOIL-UK-04,Ukwa Mine,20518,16697,46160,2.76,33.4,33.88,86.6,4898.9,26,520.0,341.6,178.4,77.2,85.1,3821,18.6,Critical Shortfall,17.1,True
2024-07-01,2024,7,MOIL-UK-04,Ukwa Mine,20932,11635,41074,3.53,33.4,34.45,88.5,3547.3,22,440.0,265.4,174.6,69.4,86.9,9297,44.4,Critical Shortfall,34.3,True
2024-08-01,2024,8,MOIL-UK-04,Ukwa Mine,19807,13956,51464,3.69,33.4,32.07,87.2,3902.8,22,440.0,287.1,152.9,78.8,82.8,5851,29.5,Critical Shortfall,17.8,True
2024-09-01,2024,9,MOIL-UK-04,Ukwa Mine,20145,13490,49263,3.65,33.4,35.29,84.1,4003.7,22,440.0,245.5,194.5,74.8,74.6,6655,33.0,Critical Shortfall,12.3,True
2024-10-01,2024,10,MOIL-UK-04,Ukwa Mine,20767,17627,65022,3.69,33.4,33.5,87.1,5143.3,27,540.0,340.3,199.7,82.7,76.2,3140,15.1,Critical Shortfall,16.3,True
