mine_id,grid_x,grid_y,latitude,longitude,B02_Blue,B03_Green,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2,NDVI,NDWI,NDBI,iron_oxide_index,clay_mineral_index,ferrous_index,exploration_potential_score,potential_class,spectral_zone_type,is_synthetic
MOIL-DB-01,-1100.0,-800.0,21.540614,79.69352,0.084,0.1238,0.1806,0.2699,0.4004,0.3284,0.1982,-0.3712,0.1947,2.149,1.22,2.169,73.2,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,-700.0,21.541512,79.69352,0.0299,0.0715,0.0695,0.6339,0.1505,0.073,0.8024,-0.7974,-0.6163,2.328,2.061,1.266,69.0,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,-600.0,21.54241,79.69352,0.0387,0.1129,0.0379,0.4728,0.1606,0.0672,0.8515,-0.6146,-0.4929,0.981,2.39,3.315,56.4,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,-500.0,21.543308,79.69352,0.041,0.0718,0.0574,0.5426,0.1835,0.0943,0.8086,-0.7664,-0.4946,1.401,1.946,1.588,55.3,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,-400.0,21.544207,79.69352,0.1181,0.1429,0.1869,0.2489,0.3284,0.3144,0.1423,-0.2707,0.1376,1.582,1.044,2.083,63.3,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,-300.0,21.545105,79.69352,0.1209,0.174,0.188,0.223,0.2834,0.2367,0.085,-0.1232,0.1195,1.555,1.197,2.197,66.5,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,-200.0,21.546003,79.69352,0.1249,0.1377,0.2122,0.2242,0.3214,0.2481,0.0276,-0.2391,0.1781,1.699,1.295,2.082,71.0,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,-100.0,21.546902,79.69352,0.0914,0.1571,0.213,0.2348,0.3838,0.25,0.0487,-0.1984,0.2407,2.329,1.535,2.371,80.8,High Potential Exploration Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,0.0,21.5478,79.69352,0.1297,0.1741,0.226,0.2348,0.4199,0.3007,0.0191,-0.1485,0.2828,1.742,1.397,2.559,72.6,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,100.0,21.548698,79.69352,0.0486,0.1072,0.0577,0.6764,0.1585,0.0979,0.8429,-0.7263,-0.6202,1.186,1.619,2.094,44.6,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,200.0,21.549597,79.69352,0.1393,0.1553,0.2251,0.2607,0.3862,0.2665,0.0733,-0.2533,0.1939,1.616,1.449,2.171,69.8,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,300.0,21.550495,79.69352,0.0433,0.0582,0.0443,0.5971,0.1534,0.0716,0.862,-0.8225,-0.5912,1.021,2.141,1.57,49.5,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,400.0,21.551393,79.69352,0.0937,0.1709,0.2339,0.29,0.2842,0.3143,0.1071,-0.2583,-0.0101,2.497,0.904,1.711,70.3,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,500.0,21.552292,79.69352,0.0427,0.0806,0.0317,0.6341,0.1644,0.1112,0.9049,-0.7744,-0.5882,0.74,1.479,2.806,34.7,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,600.0,21.55319,79.69352,0.0308,0.1007,0.0498,0.5038,0.162,0.0656,0.8201,-0.6669,-0.5134,1.618,2.47,2.343,62.0,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,700.0,21.554088,79.69352,0.0948,0.1326,0.1603,0.2984,0.2908,0.2739,0.3009,-0.3848,-0.0129,1.691,1.062,1.801,57.2,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,800.0,21.554986,79.69352,0.0254,0.1177,0.0541,0.6696,0.1696,0.1006,0.8504,-0.7011,-0.5958,2.128,1.686,2.427,55.0,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,900.0,21.555885,79.69352,0.0305,0.0853,0.0506,0.7178,0.1433,0.0973,0.8683,-0.7876,-0.6672,1.661,1.473,1.886,45.8,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,1000.0,21.556783,79.69352,0.1356,0.1554,0.2288,0.3095,0.358,0.3018,0.1501,-0.3314,0.0726,1.687,1.186,1.836,63.2,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,1100.0,21.557681,79.69352,0.0338,0.0804,0.0374,0.5537,0.2191,0.0689,0.8733,-0.7463,-0.433,1.107,3.18,2.544,64.7,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,1200.0,21.55858,79.69352,0.0218,0.0827,0.0323,0.5785,0.1228,0.0929,0.8941,-0.7498,-0.6499,1.485,1.321,2.77,40.5,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-1200.0,21.53702,79.694491,0.0635,0.0999,0.1783,0.2326,0.3496,0.1946,0.1321,-0.3991,0.201,2.81,1.797,2.063,98.0,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-1000.0,-1100.0,21.537919,79.694491,0.0506,0.0613,0.1586,0.191,0.3724,0.2374,0.0925,-0.5139,0.3221,3.133,1.568,2.337,97.9,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-1000.0,-1000.0,21.538817,79.694491,0.028,0.0607,0.0624,0.5168,0.2071,0.0619,0.7844,-0.7897,-0.4278,2.227,3.347,1.373,92.1,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-900.0,21.539715,79.694491,0.0432,0.0928,0.064,0.5393,0.1366,0.061,0.7878,-0.7064,-0.5958,1.482,2.24,1.703,65.7,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-800.0,21.540614,79.694491,0.1068,0.1726,0.1672,0.3115,0.4096,0.3073,0.3016,-0.2871,0.136,1.566,1.333,2.347,66.6,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1000.0,-700.0,21.541512,79.694491,0.0431,0.087,0.054,0.6196,0.1327,0.0635,0.8396,-0.7538,-0.6472,1.254,2.089,1.824,57.4,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-600.0,21.54241,79.694491,0.0235,0.1175,0.0503,0.5526,0.1358,0.0792,0.8332,-0.6492,-0.6056,2.144,1.715,2.583,61.3,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-500.0,21.543308,79.694491,0.0853,0.178,0.1812,0.289,0.2928,0.3296,0.2293,-0.2377,0.0064,2.125,0.888,1.995,66.1,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1000.0,-400.0,21.544207,79.694491,0.0397,0.1047,0.0542,0.4691,0.163,0.0683,0.7927,-0.635,-0.4844,1.366,2.384,2.278,62.3,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-300.0,21.545105,79.694491,0.0321,0.1079,0.0399,0.5044,0.2158,0.1165,0.8534,-0.6476,-0.4007,1.241,1.853,3.132,50.6,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-200.0,21.546003,79.694491,0.0371,0.0579,0.0652,0.4892,0.1356,0.0635,0.7648,-0.7883,-0.566,1.76,2.134,1.165,62.9,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,-100.0,21.546902,79.694491,0.0232,0.1045,0.0323,0.4798,0.1634,0.0765,0.8737,-0.6424,-0.4918,1.393,2.135,3.572,55.0,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,0.0,21.5478,79.694491,0.049,0.0633,0.0679,0.6369,0.1609,0.1018,0.8074,-0.8193,-0.5967,1.385,1.581,1.185,48.2,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,100.0,21.548698,79.694491,0.0254,0.0637,0.0463,0.4957,0.156,0.0952,0.829,-0.7722,-0.5211,1.824,1.639,1.69,53.1,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,200.0,21.549597,79.694491,0.0291,0.0697,0.0612,0.5529,0.2018,0.1195,0.8007,-0.776,-0.4651,2.106,1.689,1.505,57.6,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,300.0,21.550495,79.694491,0.0399,0.0763,0.0326,0.6493,0.2178,0.0548,0.9043,-0.7898,-0.4976,0.818,3.977,2.673,73.9,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,400.0,21.551393,79.694491,0.1299,0.1261,0.1665,0.311,0.2911,0.2337,0.3026,-0.4229,-0.033,1.282,1.246,1.693,56.0,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1000.0,500.0,21.552292,79.694491,0.0427,0.078,0.0468,0.6208,0.1705,0.0513,0.8597,-0.7768,-0.569,1.096,3.324,1.94,68.1,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,600.0,21.55319,79.694491,0.1149,0.1676,0.221,0.294,0.388,0.2253,0.1417,-0.2738,0.1378,1.924,1.722,2.078,74.9,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1000.0,700.0,21.554088,79.694491,0.0467,0.0872,0.0399,0.6099,0.1758,0.0656,0.8771,-0.7497,-0.5525,0.856,2.679,2.472,54.9,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,800.0,21.554986,79.694491,0.0439,0.1064,0.0324,0.5032,0.1868,0.1102,0.8791,-0.6509,-0.4585,0.737,1.695,3.657,38.5,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,900.0,21.555885,79.694491,0.0412,0.0515,0.0543,0.7097,0.1861,0.1146,0.8578,-0.8648,-0.5845,1.318,1.624,1.21,44.6,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,1000.0,21.556783,79.694491,0.0453,0.0587,0.0349,0.4824,0.1689,0.0731,0.8649,-0.7831,-0.4814,0.771,2.31,2.03,48.3,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,1100.0,21.557681,79.694491,0.0471,0.0934,0.0385,0.7013,0.1728,0.1004,0.8959,-0.7651,-0.6047,0.818,1.721,2.669,39.0,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1000.0,1200.0,21.55858,79.694491,0.0497,0.0854,0.0623,0.6031,0.1686,0.0876,0.8127,-0.7518,-0.5629,1.254,1.924,1.65,49.5,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-1200.0,21.53702,79.695462,0.0594,0.0811,0.1924,0.165,0.3263,0.2584,-0.0767,-0.3411,0.3284,3.24,1.263,2.399,98.0,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-900.0,-1100.0,21.537919,79.695462,0.0757,0.0766,0.2061,0.2345,0.3308,0.2649,0.0646,-0.5076,0.1703,2.723,1.249,1.782,92.0,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-900.0,-1000.0,21.538817,79.695462,0.0562,0.1076,0.1871,0.171,0.2966,0.248,-0.0449,-0.2276,0.2686,3.327,1.196,2.309,98.0,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-900.0,-900.0,21.539715,79.695462,0.1252,0.1335,0.2073,0.2897,0.4004,0.3081,0.1657,-0.3692,0.1604,1.656,1.3,2.026,74.4,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-900.0,-800.0,21.540614,79.695462,0.0474,0.0918,0.0639,0.5126,0.2015,0.0655,0.7785,-0.6961,-0.4357,1.347,3.075,1.831,77.9,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-700.0,21.541512,79.695462,0.0299,0.062,0.0359,0.5006,0.1648,0.0866,0.8661,-0.7795,-0.5047,1.202,1.904,2.056,54.8,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-600.0,21.54241,79.695462,0.0314,0.0652,0.0598,0.4864,0.2092,0.0787,0.7812,-0.7635,-0.3984,1.901,2.66,1.522,75.7,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-500.0,21.543308,79.695462,0.0256,0.0602,0.062,0.566,0.2187,0.0867,0.8027,-0.8078,-0.4427,2.421,2.522,1.358,78.1,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-400.0,21.544207,79.695462,0.0494,0.0697,0.062,0.4559,0.188,0.1022,0.7605,-0.7349,-0.4162,1.256,1.84,1.536,55.0,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-300.0,21.545105,79.695462,0.0249,0.0932,0.0659,0.7015,0.1946,0.0685,0.8282,-0.7655,-0.5656,2.651,2.843,1.691,83.3,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-200.0,21.546003,79.695462,0.0467,0.0757,0.0373,0.6862,0.2085,0.0571,0.8968,-0.8013,-0.5339,0.8,3.654,2.333,71.6,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,-100.0,21.546902,79.695462,0.036,0.1196,0.0478,0.594,0.1466,0.1129,0.851,-0.6649,-0.6041,1.328,1.298,2.748,43.2,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,0.0,21.5478,79.695462,0.0444,0.0556,0.0615,0.5824,0.1205,0.0658,0.8089,-0.8257,-0.657,1.385,1.831,1.11,52.6,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,100.0,21.548698,79.695462,0.1251,0.1486,0.1728,0.2457,0.3506,0.2224,0.1742,-0.2461,0.1759,1.381,1.577,2.287,67.3,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-900.0,200.0,21.549597,79.695462,0.0403,0.0862,0.0539,0.5382,0.1383,0.1067,0.8179,-0.7238,-0.5911,1.337,1.296,1.856,43.0,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,300.0,21.550495,79.695462,0.0353,0.0714,0.0504,0.6873,0.1891,0.1101,0.8632,-0.8119,-0.5684,1.428,1.718,1.69,48.6,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,400.0,21.551393,79.695462,0.1227,0.1592,0.2057,0.2728,0.3571,0.322,0.1402,-0.2631,0.1338,1.676,1.109,2.083,63.8,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-900.0,500.0,21.552292,79.695462,0.0234,0.0898,0.0667,0.4864,0.1613,0.0562,0.7587,-0.6883,-0.5019,2.854,2.868,1.677,84.8,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,600.0,21.55319,79.695462,0.1342,0.1468,0.2151,0.2339,0.2831,0.3269,0.0419,-0.2289,0.0951,1.602,0.866,1.893,61.7,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-900.0,700.0,21.554088,79.695462,0.0206,0.1195,0.0497,0.5785,0.1821,0.0506,0.8418,-0.6577,-0.5212,2.412,3.602,2.719,87.8,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,800.0,21.554986,79.695462,0.0389,0.0708,0.0591,0.5519,0.1918,0.0601,0.8066,-0.7726,-0.4843,1.519,3.193,1.546,72.4,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,900.0,21.555885,79.695462,0.0464,0.0605,0.0675,0.6006,0.1902,0.1088,0.7978,-0.8169,-0.519,1.456,1.748,1.213,50.1,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,1000.0,21.556783,79.695462,0.0902,0.1374,0.1982,0.2546,0.3508,0.2423,0.1246,-0.2989,0.1589,2.198,1.448,2.071,74.1,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-900.0,1100.0,21.557681,79.695462,0.0217,0.0753,0.0372,0.6471,0.2084,0.0555,0.8914,-0.7915,-0.5129,1.715,3.753,2.348,80.1,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-900.0,1200.0,21.55858,79.695462,0.0469,0.1182,0.0532,0.5384,0.1522,0.0765,0.8202,-0.64,-0.5592,1.134,1.989,2.505,49.0,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-800.0,-1200.0,21.53702,79.696433,0.0645,0.0845,0.1854,0.1439,0.2548,0.2874,-0.1258,-0.2601,0.2781,2.874,0.887,2.226,96.0,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-800.0,-1100.0,21.537919,79.696433,0.0798,0.0973,0.1456,0.2353,0.2699,0.2605,0.2354,-0.4148,0.0684,1.825,1.036,1.815,76.8,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-800.0,-1000.0,21.538817,79.696433,0.0446,0.0924,0.196,0.226,0.3428,0.2816,0.0711,-0.4193,0.2054,4.393,1.217,1.989,98.0,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-800.0,-900.0,21.539715,79.696433,0.0608,0.0939,0.157,0.141,0.3459,0.2757,-0.0534,-0.2008,0.4208,2.58,1.255,3.051,91.9,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-800.0,-800.0,21.540614,79.696433,0.047,0.0614,0.1365,0.2295,0.2814,0.2057,0.2543,-0.5777,0.1015,2.906,1.368,1.676,88.1,High Potential Exploration Zone,Manganese Gossan / Alteration Outcrop,True
MOIL-DB-01,-800.0,-700.0,21.541512,79.696433,0.0978,0.1629,0.2367,0.2513,0.3137,0.3266,0.0298,-0.2133,0.1105,2.42,0.961,1.937,81.8,High Potential Exploration Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-800.0,-600.0,21.54241,79.696433,0.0298,0.0548,0.0697,0.6338,0.2127,0.0739,0.8019,-0.8408,-0.4975,2.335,2.876,1.122,85.1,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-800.0,-500.0,21.543308,79.696433,0.0402,0.1111,0.0697,0.4793,0.1831,0.0736,0.746,-0.6237,-0.4472,1.733,2.49,1.976,73.0,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-800.0,-400.0,21.544207,79.696433,0.0426,0.1125,0.0437,0.4998,0.1222,0.0679,0.839,-0.6326,-0.6071,1.026,1.8,2.815,50.8,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-800.0,-300.0,21.545105,79.696433,0.1368,0.1495,0.2045,0.308,0.4039,0.2833,0.2019,-0.3465,0.1347,1.495,1.425,2.042,68.8,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-800.0,-200.0,21.546003,79.696433,0.0962,0.1474,0.2201,0.2912,0.37,0.3256,0.139,-0.3278,0.1192,2.287,1.136,1.94,74.7,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-800.0,-100.0,21.546902,79.696433,0.0495,0.1122,0.0378,0.4656,0.1615,0.0932,0.8497,-0.6115,-0.485,0.765,1.732,3.314,44.2,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-800.0,0.0,21.5478,79.696433,0.028,0.1102,0.0432,0.6982,0.1672,0.0507,0.8835,-0.7274,-0.6136,1.54,3.295,2.792,75.0,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-800.0,100.0,21.548698,79.696433,0.0861,0.1226,0.2171,0.2392,0.3974,0.2517,0.0484,-0.3222,0.2485,2.521,1.579,2.226,84.9,High Potential Exploration Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-800.0,200.0,21.549597,79.696433,0.1292,0.148,0.208,0.2536,0.2864,0.2644,0.0989,-0.2631,0.0608,1.609,1.083,1.841,65.1,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-800.0,300.0,21.550495,79.696433,0.0204,0.0902,0.0657,0.5088,0.2127,0.0568,0.7712,-0.6988,-0.4105,3.229,3.742,1.79,98.0,High Potential Exploration Zone,Dense / Moderate Canopy,True
