block_id,mine_id,x,y,z_elevation,depth_below_surface,latitude,longitude,block_volume_m3,rock_density_tpm3,total_tonnage,predicted_mn_grade,contained_mn_tonnes,confidence_score,resource_classification,geological_category,stripping_ratio,est_extraction_cost_inr,is_synthetic
BLK-01-X00Y05-B1,MOIL-DB-01,-1000.0,0.0,305.0,15.0,21.5478,79.694491,150000.0,2.85,427500.0,12.41,53052.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.52,645.9,True
BLK-01-X00Y05-B2,MOIL-DB-01,-1000.0,0.0,290.0,30.0,21.5478,79.694491,150000.0,2.85,427500.0,9.48,40527.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.94,882.3,True
BLK-01-X00Y05-B3,MOIL-DB-01,-1000.0,0.0,275.0,45.0,21.5478,79.694491,150000.0,2.85,427500.0,8.92,38133.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.49,1034.55,True
BLK-01-X00Y05-B4,MOIL-DB-01,-1000.0,0.0,260.0,60.0,21.5478,79.694491,150000.0,2.85,427500.0,5.3,22657.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.17,1147.65,True
BLK-01-X00Y06-B1,MOIL-DB-01,-1000.0,200.0,305.0,15.0,21.549597,79.694491,150000.0,2.85,427500.0,8.91,38090.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.35,638.25,True
BLK-01-X00Y06-B2,MOIL-DB-01,-1000.0,200.0,290.0,30.0,21.549597,79.694491,150000.0,2.85,427500.0,5.67,24239.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.39,812.55,True
BLK-01-X00Y06-B3,MOIL-DB-01,-1000.0,200.0,275.0,45.0,21.549597,79.694491,150000.0,2.85,427500.0,15.73,67245.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.88,962.1,True
BLK-01-X00Y06-B4,MOIL-DB-01,-1000.0,200.0,260.0,60.0,21.549597,79.694491,150000.0,2.85,427500.0,8.18,34969.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.52,1118.4,True
BLK-01-X00Y07-B1,MOIL-DB-01,-1000.0,400.0,305.0,15.0,21.551393,79.694491,150000.0,2.85,427500.0,13.74,58738.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.49,689.55,True
BLK-01-X00Y07-B2,MOIL-DB-01,-1000.0,400.0,290.0,30.0,21.551393,79.694491,150000.0,2.85,427500.0,13.03,55703.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.75,828.75,True
BLK-01-X00Y07-B3,MOIL-DB-01,-1000.0,400.0,275.0,45.0,21.551393,79.694491,150000.0,2.85,427500.0,6.92,29583.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.19,1021.05,True
BLK-01-X00Y07-B4,MOIL-DB-01,-1000.0,400.0,260.0,60.0,21.551393,79.694491,150000.0,2.85,427500.0,15.36,65664.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.78,1130.1,True
BLK-01-X00Y08-B1,MOIL-DB-01,-1000.0,600.0,305.0,15.0,21.55319,79.694491,150000.0,2.85,427500.0,10.82,46255.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.75,656.25,True
BLK-01-X00Y08-B2,MOIL-DB-01,-1000.0,600.0,290.0,30.0,21.55319,79.694491,150000.0,2.85,427500.0,6.35,27146.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.47,861.15,True
BLK-01-X00Y08-B3,MOIL-DB-01,-1000.0,600.0,275.0,45.0,21.55319,79.694491,150000.0,2.85,427500.0,11.53,49290.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.18,975.6,True
BLK-01-X00Y08-B4,MOIL-DB-01,-1000.0,600.0,260.0,60.0,21.55319,79.694491,150000.0,2.85,427500.0,8.34,35653.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,5.43,1204.35,True
BLK-01-X00Y09-B1,MOIL-DB-01,-1000.0,800.0,305.0,15.0,21.554986,79.694491,150000.0,2.85,427500.0,15.88,67887.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.01,712.95,True
BLK-01-X00Y09-B2,MOIL-DB-01,-1000.0,800.0,290.0,30.0,21.554986,79.694491,150000.0,2.85,427500.0,10.44,44631.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.25,851.25,True
BLK-01-X00Y09-B3,MOIL-DB-01,-1000.0,800.0,275.0,45.0,21.554986,79.694491,150000.0,2.85,427500.0,9.27,39629.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.91,963.45,True
BLK-01-X00Y09-B4,MOIL-DB-01,-1000.0,800.0,260.0,60.0,21.554986,79.694491,150000.0,2.85,427500.0,9.61,41082.7,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.69,1171.05,True
BLK-01-X00Y10-B1,MOIL-DB-01,-1000.0,1000.0,305.0,15.0,21.556783,79.694491,150000.0,2.85,427500.0,8.02,34285.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.95,710.25,True
BLK-01-X00Y10-B2,MOIL-DB-01,-1000.0,1000.0,290.0,30.0,21.556783,79.694491,150000.0,2.85,427500.0,6.12,26163.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.73,827.85,True
BLK-01-X00Y10-B3,MOIL-DB-01,-1000.0,1000.0,275.0,45.0,21.556783,79.694491,150000.0,2.85,427500.0,5.75,24581.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.56,992.7,True
BLK-01-X00Y10-B4,MOIL-DB-01,-1000.0,1000.0,260.0,60.0,21.556783,79.694491,150000.0,2.85,427500.0,4.56,19494.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.05,1142.25,True
BLK-01-X01Y00-B1,MOIL-DB-01,-800.0,-1000.0,305.0,15.0,21.538817,79.696433,150000.0,3.95,592500.0,38.98,230956.5,0.88,111 (Measured Resource),High Grade Braunite,2.34,682.8,True
BLK-01-X01Y00-B2,MOIL-DB-01,-800.0,-1000.0,290.0,30.0,21.538817,79.696433,150000.0,3.95,592500.0,33.6,199080.0,0.88,111 (Measured Resource),High Grade Braunite,2.55,819.75,True
BLK-01-X01Y00-B3,MOIL-DB-01,-800.0,-1000.0,275.0,45.0,21.538817,79.696433,150000.0,3.95,592500.0,44.03,260877.8,0.88,111 (Measured Resource),High Grade Braunite,3.38,984.6,True
BLK-01-X01Y00-B4,MOIL-DB-01,-800.0,-1000.0,260.0,60.0,21.538817,79.696433,150000.0,3.95,592500.0,49.54,293524.5,0.88,111 (Measured Resource),High Grade Braunite,5.16,1192.2,True
BLK-01-X01Y01-B1,MOIL-DB-01,-800.0,-800.0,305.0,15.0,21.540614,79.696433,150000.0,3.45,517500.0,28.55,147746.3,0.76,122 (Indicated Resource),Medium Grade Gondite,1.91,663.45,True
BLK-01-X01Y01-B2,MOIL-DB-01,-800.0,-800.0,290.0,30.0,21.540614,79.696433,150000.0,3.95,592500.0,36.43,215847.8,0.88,111 (Measured Resource),High Grade Braunite,3.33,854.85,True
BLK-01-X01Y01-B3,MOIL-DB-01,-800.0,-800.0,275.0,45.0,21.540614,79.696433,150000.0,3.95,592500.0,38.24,226572.0,0.88,111 (Measured Resource),High Grade Braunite,4.71,1044.45,True
BLK-01-X01Y01-B4,MOIL-DB-01,-800.0,-800.0,260.0,60.0,21.540614,79.696433,150000.0,3.95,592500.0,42.98,254656.5,0.88,111 (Measured Resource),High Grade Braunite,4.16,1147.2,True
BLK-01-X01Y02-B1,MOIL-DB-01,-800.0,-600.0,305.0,15.0,21.54241,79.696433,150000.0,3.45,517500.0,26.88,139104.0,0.76,122 (Indicated Resource),Medium Grade Gondite,3.06,715.2,True
BLK-01-X01Y02-B2,MOIL-DB-01,-800.0,-600.0,290.0,30.0,21.54241,79.696433,150000.0,3.95,592500.0,41.32,244821.0,0.88,111 (Measured Resource),High Grade Braunite,3.51,862.95,True
BLK-01-X01Y02-B3,MOIL-DB-01,-800.0,-600.0,275.0,45.0,21.54241,79.696433,150000.0,3.95,592500.0,44.71,264906.8,0.88,111 (Measured Resource),High Grade Braunite,4.55,1037.25,True
BLK-01-X01Y02-B4,MOIL-DB-01,-800.0,-600.0,260.0,60.0,21.54241,79.696433,150000.0,3.45,517500.0,28.62,148108.5,0.76,122 (Indicated Resource),Medium Grade Gondite,4.01,1140.45,True
BLK-01-X01Y03-B1,MOIL-DB-01,-800.0,-400.0,305.0,15.0,21.544207,79.696433,150000.0,3.45,517500.0,27.23,140915.2,0.76,122 (Indicated Resource),Medium Grade Gondite,2.28,680.1,True
BLK-01-X01Y03-B2,MOIL-DB-01,-800.0,-400.0,290.0,30.0,21.544207,79.696433,150000.0,3.45,517500.0,23.16,119853.0,0.76,122 (Indicated Resource),Medium Grade Gondite,3.49,862.05,True
BLK-01-X01Y03-B3,MOIL-DB-01,-800.0,-400.0,275.0,45.0,21.544207,79.696433,150000.0,3.45,517500.0,23.31,120629.2,0.76,122 (Indicated Resource),Medium Grade Gondite,3.56,992.7,True
BLK-01-X01Y03-B4,MOIL-DB-01,-800.0,-400.0,260.0,60.0,21.544207,79.696433,150000.0,3.45,517500.0,31.66,163840.5,0.76,122 (Indicated Resource),Medium Grade Gondite,4.44,1159.8,True
BLK-01-X01Y04-B1,MOIL-DB-01,-800.0,-200.0,305.0,15.0,21.546003,79.696433,150000.0,2.85,427500.0,15.79,67502.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.93,664.35,True
BLK-01-X01Y04-B2,MOIL-DB-01,-800.0,-200.0,290.0,30.0,21.546003,79.696433,150000.0,3.45,517500.0,33.49,173310.8,0.76,122 (Indicated Resource),Medium Grade Gondite,2.42,813.9,True
BLK-01-X01Y04-B3,MOIL-DB-01,-800.0,-200.0,275.0,45.0,21.546003,79.696433,150000.0,3.45,517500.0,22.46,116230.5,0.76,122 (Indicated Resource),Medium Grade Gondite,4.49,1034.55,True
BLK-01-X01Y04-B4,MOIL-DB-01,-800.0,-200.0,260.0,60.0,21.546003,79.696433,150000.0,3.45,517500.0,31.03,160580.2,0.76,122 (Indicated Resource),Medium Grade Gondite,3.96,1138.2,True
BLK-01-X01Y05-B1,MOIL-DB-01,-800.0,0.0,305.0,15.0,21.5478,79.696433,150000.0,2.85,427500.0,17.79,76052.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.25,678.75,True
BLK-01-X01Y05-B2,MOIL-DB-01,-800.0,0.0,290.0,30.0,21.5478,79.696433,150000.0,3.45,517500.0,33.41,172896.7,0.76,122 (Indicated Resource),Medium Grade Gondite,3.01,840.45,True
BLK-01-X01Y05-B3,MOIL-DB-01,-800.0,0.0,275.0,45.0,21.5478,79.696433,150000.0,3.45,517500.0,27.66,143140.5,0.76,122 (Indicated Resource),Medium Grade Gondite,3.65,996.75,True
BLK-01-X01Y05-B4,MOIL-DB-01,-800.0,0.0,260.0,60.0,21.5478,79.696433,150000.0,2.85,427500.0,8.69,37149.7,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.57,1165.65,True
BLK-01-X01Y06-B1,MOIL-DB-01,-800.0,200.0,305.0,15.0,21.549597,79.696433,150000.0,2.85,427500.0,10.34,44203.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.32,636.9,True
BLK-01-X01Y06-B2,MOIL-DB-01,-800.0,200.0,290.0,30.0,21.549597,79.696433,150000.0,2.85,427500.0,7.65,32703.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.43,814.35,True
BLK-01-X01Y06-B3,MOIL-DB-01,-800.0,200.0,275.0,45.0,21.549597,79.696433,150000.0,3.45,517500.0,32.41,167721.7,0.76,122 (Indicated Resource),Medium Grade Gondite,3.95,1010.25,True
BLK-01-X01Y06-B4,MOIL-DB-01,-800.0,200.0,260.0,60.0,21.549597,79.696433,150000.0,2.85,427500.0,14.69,62799.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,5.41,1203.45,True
BLK-01-X01Y07-B1,MOIL-DB-01,-800.0,400.0,305.0,15.0,21.551393,79.696433,150000.0,2.85,427500.0,13.02,55660.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.22,722.4,True
BLK-01-X01Y07-B2,MOIL-DB-01,-800.0,400.0,290.0,30.0,21.551393,79.696433,150000.0,2.85,427500.0,8.36,35739.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.37,811.65,True
BLK-01-X01Y07-B3,MOIL-DB-01,-800.0,400.0,275.0,45.0,21.551393,79.696433,150000.0,2.85,427500.0,9.65,41253.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.69,998.55,True
BLK-01-X01Y07-B4,MOIL-DB-01,-800.0,400.0,260.0,60.0,21.551393,79.696433,150000.0,2.85,427500.0,16.54,70708.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.62,1167.9,True
BLK-01-X01Y08-B1,MOIL-DB-01,-800.0,600.0,305.0,15.0,21.55319,79.696433,150000.0,2.85,427500.0,8.09,34584.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.74,700.8,True
BLK-01-X01Y08-B2,MOIL-DB-01,-800.0,600.0,290.0,30.0,21.55319,79.696433,150000.0,2.85,427500.0,11.08,47367.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.32,809.4,True
BLK-01-X01Y08-B3,MOIL-DB-01,-800.0,600.0,275.0,45.0,21.55319,79.696433,150000.0,2.85,427500.0,12.08,51642.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.57,1038.15,True
BLK-01-X01Y08-B4,MOIL-DB-01,-800.0,600.0,260.0,60.0,21.55319,79.696433,150000.0,2.85,427500.0,15.8,67545.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.67,1170.15,True
BLK-01-X01Y09-B1,MOIL-DB-01,-800.0,800.0,305.0,15.0,21.554986,79.696433,150000.0,2.85,427500.0,9.28,39672.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.42,641.4,True
BLK-01-X01Y09-B2,MOIL-DB-01,-800.0,800.0,290.0,30.0,21.554986,79.696433,150000.0,2.85,427500.0,10.58,45229.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.5,862.5,True
BLK-01-X01Y09-B3,MOIL-DB-01,-800.0,800.0,275.0,45.0,21.554986,79.696433,150000.0,2.85,427500.0,9.04,38646.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.22,977.4,True
BLK-01-X01Y09-B4,MOIL-DB-01,-800.0,800.0,260.0,60.0,21.554986,79.696433,150000.0,2.85,427500.0,17.04,72846.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,5.14,1191.3,True
BLK-01-X01Y10-B1,MOIL-DB-01,-800.0,1000.0,305.0,15.0,21.556783,79.696433,150000.0,2.85,427500.0,12.94,55318.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.52,645.9,True
BLK-01-X01Y10-B2,MOIL-DB-01,-800.0,1000.0,290.0,30.0,21.556783,79.696433,150000.0,2.85,427500.0,6.03,25778.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.21,804.45,True
BLK-01-X01Y10-B3,MOIL-DB-01,-800.0,1000.0,275.0,45.0,21.556783,79.696433,150000.0,2.85,427500.0,12.63,53993.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.98,966.6,True
BLK-01-X01Y10-B4,MOIL-DB-01,-800.0,1000.0,260.0,60.0,21.556783,79.696433,150000.0,2.85,427500.0,15.8,67545.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,5.49,1207.05,True
BLK-01-X02Y00-B1,MOIL-DB-01,-600.0,-1000.0,305.0,15.0,21.538817,79.698375,150000.0,3.95,592500.0,33.52,198606.0,0.88,111 (Measured Resource),High Grade Braunite,1.98,666.6,True
BLK-01-X02Y00-B2,MOIL-DB-01,-600.0,-1000.0,290.0,30.0,21.538817,79.698375,150000.0,3.95,592500.0,45.5,269587.5,0.88,111 (Measured Resource),High Grade Braunite,3.87,879.15,True
BLK-01-X02Y00-B3,MOIL-DB-01,-600.0,-1000.0,275.0,45.0,21.538817,79.698375,150000.0,3.95,592500.0,39.41,233504.2,0.88,111 (Measured Resource),High Grade Braunite,4.54,1036.8,True
BLK-01-X02Y00-B4,MOIL-DB-01,-600.0,-1000.0,260.0,60.0,21.538817,79.698375,150000.0,3.95,592500.0,42.75,253293.8,0.88,111 (Measured Resource),High Grade Braunite,3.77,1129.65,True
BLK-01-X02Y01-B1,MOIL-DB-01,-600.0,-800.0,305.0,15.0,21.540614,79.698375,150000.0,3.95,592500.0,43.54,257974.5,0.88,111 (Measured Resource),High Grade Braunite,2.25,678.75,True
BLK-01-X02Y01-B2,MOIL-DB-01,-600.0,-800.0,290.0,30.0,21.540614,79.698375,150000.0,3.95,592500.0,38.6,228705.0,0.88,111 (Measured Resource),High Grade Braunite,3.74,873.3,True
BLK-01-X02Y01-B3,MOIL-DB-01,-600.0,-800.0,275.0,45.0,21.540614,79.698375,150000.0,3.95,592500.0,42.4,251220.0,0.88,111 (Measured Resource),High Grade Braunite,2.86,961.2,True
BLK-01-X02Y01-B4,MOIL-DB-01,-600.0,-800.0,260.0,60.0,21.540614,79.698375,150000.0,3.95,592500.0,41.99,248790.8,0.88,111 (Measured Resource),High Grade Braunite,4.13,1145.85,True
BLK-01-X02Y02-B1,MOIL-DB-01,-600.0,-600.0,305.0,15.0,21.54241,79.698375,150000.0,3.45,517500.0,30.65,158613.8,0.76,122 (Indicated Resource),Medium Grade Gondite,2.81,703.95,True
BLK-01-X02Y02-B2,MOIL-DB-01,-600.0,-600.0,290.0,30.0,21.54241,79.698375,150000.0,3.95,592500.0,44.14,261529.5,0.88,111 (Measured Resource),High Grade Braunite,3.87,879.15,True
BLK-01-X02Y02-B3,MOIL-DB-01,-600.0,-600.0,275.0,45.0,21.54241,79.698375,150000.0,3.95,592500.0,44.54,263899.5,0.88,111 (Measured Resource),High Grade Braunite,3.96,1010.7,True
BLK-01-X02Y02-B4,MOIL-DB-01,-600.0,-600.0,260.0,60.0,21.54241,79.698375,150000.0,3.95,592500.0,37.63,222957.8,0.88,111 (Measured Resource),High Grade Braunite,4.55,1164.75,True
BLK-01-X02Y03-B1,MOIL-DB-01,-600.0,-400.0,305.0,15.0,21.544207,79.698375,150000.0,3.45,517500.0,32.68,169119.0,0.76,122 (Indicated Resource),Medium Grade Gondite,1.26,634.2,True
BLK-01-X02Y03-B2,MOIL-DB-01,-600.0,-400.0,290.0,30.0,21.544207,79.698375,150000.0,3.95,592500.0,41.37,245117.2,0.88,111 (Measured Resource),High Grade Braunite,2.36,811.2,True
BLK-01-X02Y03-B3,MOIL-DB-01,-600.0,-400.0,275.0,45.0,21.544207,79.698375,150000.0,3.95,592500.0,35.52,210456.0,0.88,111 (Measured Resource),High Grade Braunite,4.57,1038.15,True
BLK-01-X02Y03-B4,MOIL-DB-01,-600.0,-400.0,260.0,60.0,21.544207,79.698375,150000.0,3.45,517500.0,29.77,154059.8,0.76,122 (Indicated Resource),Medium Grade Gondite,4.46,1160.7,True
BLK-01-X02Y04-B1,MOIL-DB-01,-600.0,-200.0,305.0,15.0,21.546003,79.698375,150000.0,3.45,517500.0,31.78,164461.5,0.76,122 (Indicated Resource),Medium Grade Gondite,2.15,674.25,True
BLK-01-X02Y04-B2,MOIL-DB-01,-600.0,-200.0,290.0,30.0,21.546003,79.698375,150000.0,3.45,517500.0,28.7,148522.5,0.76,122 (Indicated Resource),Medium Grade Gondite,2.01,795.45,True
BLK-01-X02Y04-B3,MOIL-DB-01,-600.0,-200.0,275.0,45.0,21.546003,79.698375,150000.0,3.95,592500.0,37.82,224083.5,0.88,111 (Measured Resource),High Grade Braunite,4.13,1018.35,True
BLK-01-X02Y04-B4,MOIL-DB-01,-600.0,-200.0,260.0,60.0,21.546003,79.698375,150000.0,3.45,517500.0,27.75,143606.2,0.76,122 (Indicated Resource),Medium Grade Gondite,4.1,1144.5,True
BLK-01-X02Y05-B1,MOIL-DB-01,-600.0,0.0,305.0,15.0,21.5478,79.698375,150000.0,3.45,517500.0,27.61,142881.8,0.76,122 (Indicated Resource),Medium Grade Gondite,1.67,652.65,True
BLK-01-X02Y05-B2,MOIL-DB-01,-600.0,0.0,290.0,30.0,21.5478,79.698375,150000.0,3.45,517500.0,33.1,171292.5,0.76,122 (Indicated Resource),Medium Grade Gondite,2.11,799.95,True
BLK-01-X02Y05-B3,MOIL-DB-01,-600.0,0.0,275.0,45.0,21.5478,79.698375,150000.0,3.45,517500.0,32.39,167618.2,0.76,122 (Indicated Resource),Medium Grade Gondite,3.77,1002.15,True
BLK-01-X02Y05-B4,MOIL-DB-01,-600.0,0.0,260.0,60.0,21.5478,79.698375,150000.0,3.45,517500.0,29.43,152300.2,0.76,122 (Indicated Resource),Medium Grade Gondite,4.11,1144.95,True
BLK-01-X02Y06-B1,MOIL-DB-01,-600.0,200.0,305.0,15.0,21.549597,79.698375,150000.0,2.85,427500.0,17.53,74940.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.81,658.95,True
BLK-01-X02Y06-B2,MOIL-DB-01,-600.0,200.0,290.0,30.0,21.549597,79.698375,150000.0,3.45,517500.0,29.07,150437.2,0.76,122 (Indicated Resource),Medium Grade Gondite,3.99,884.55,True
BLK-01-X02Y06-B3,MOIL-DB-01,-600.0,200.0,275.0,45.0,21.549597,79.698375,150000.0,3.45,517500.0,32.57,168549.8,0.76,122 (Indicated Resource),Medium Grade Gondite,3.82,1004.4,True
BLK-01-X02Y06-B4,MOIL-DB-01,-600.0,200.0,260.0,60.0,21.549597,79.698375,150000.0,3.45,517500.0,33.88,175329.0,0.76,122 (Indicated Resource),Medium Grade Gondite,4.9,1180.5,True
BLK-01-X02Y07-B1,MOIL-DB-01,-600.0,400.0,305.0,15.0,21.551393,79.698375,150000.0,2.85,427500.0,6.92,29583.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.06,670.2,True
BLK-01-X02Y07-B2,MOIL-DB-01,-600.0,400.0,290.0,30.0,21.551393,79.698375,150000.0,3.45,517500.0,26.01,134601.8,0.76,122 (Indicated Resource),Medium Grade Gondite,2.69,826.05,True
BLK-01-X02Y07-B3,MOIL-DB-01,-600.0,400.0,275.0,45.0,21.551393,79.698375,150000.0,3.45,517500.0,31.13,161097.7,0.76,122 (Indicated Resource),Medium Grade Gondite,3.92,1008.9,True
BLK-01-X02Y07-B4,MOIL-DB-01,-600.0,400.0,260.0,60.0,21.551393,79.698375,150000.0,2.85,427500.0,4.53,19365.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,5.25,1196.25,True
