equipment_id,mine_id,mine_name,equipment_type,equipment_model,age_years,total_lifetime_hours,monthly_operating_hours,monthly_downtime_hours,breakdown_hours,scheduled_pm_hours,availability_pct,utilization_pct,mtbf_hours,mttr_hours,health_score,status,hourly_capacity_tph,monthly_production_tonnes,fuel_efficiency_lph,last_service_days_ago,is_synthetic
DMP-01-10,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),4.2,14120,616.2,34.7,9.0,25.7,95.2,89.9,616.2,9.0,80,Healthy,140.0,70383,19.5,32,True
DMP-01-11,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),8.2,27505,612.8,33.9,2.8,31.1,95.3,89.3,612.8,2.8,61,Warning / Inspection Due,140.0,56836,20.1,42,True
DMP-01-12,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),7.5,24613,623.0,35.5,3.1,32.4,95.1,91.0,623.0,3.1,70,Warning / Inspection Due,140.0,69927,15.2,5,True
DRL-01-01,MOIL-DB-01,Dongri Buzurg Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),6.9,23094,630.7,41.1,16.0,25.1,94.3,92.9,315.4,8.0,52,High Breakdown Risk,180.0,79323,19.6,15,True
DRL-01-02,MOIL-DB-01,Dongri Buzurg Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),4.2,14008,641.3,37.7,10.3,27.4,94.8,94.0,641.3,10.3,73,Warning / Inspection Due,180.0,81979,20.1,41,True
DRL-01-03,MOIL-DB-01,Dongri Buzurg Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),6.5,21198,627.2,43.1,13.1,30.0,94.0,92.7,313.6,6.5,58,High Breakdown Risk,180.0,94265,19.1,17,True
DRL-01-04,MOIL-DB-01,Dongri Buzurg Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),4.3,14093,619.7,38.3,7.2,31.1,94.7,90.9,619.7,7.2,71,Warning / Inspection Due,180.0,88277,23.2,13,True
LDR-01-01,MOIL-DB-01,Dongri Buzurg Mine,LDR,Front End Wheel Loader (CAT 966H),7.0,23532,593.3,52.0,28.8,23.2,92.8,88.8,148.3,7.2,40,High Breakdown Risk,210.0,89995,25.2,35,True
LDR-01-02,MOIL-DB-01,Dongri Buzurg Mine,LDR,Front End Wheel Loader (CAT 966H),4.1,13685,647.3,24.5,0.9,23.6,96.6,93.1,647.3,0.9,81,Healthy,210.0,110219,27.4,28,True
LDR-01-03,MOIL-DB-01,Dongri Buzurg Mine,LDR,Front End Wheel Loader (CAT 966H),7.3,24177,615.1,31.0,1.8,29.3,95.7,89.3,615.1,1.8,70,Warning / Inspection Due,210.0,102858,26.0,21,True
LDR-01-04,MOIL-DB-01,Dongri Buzurg Mine,LDR,Front End Wheel Loader (CAT 966H),7.2,24185,613.2,30.4,2.3,28.1,95.8,88.9,613.2,2.3,68,Warning / Inspection Due,210.0,86315,25.3,33,True
LDR-01-05,MOIL-DB-01,Dongri Buzurg Mine,LDR,Front End Wheel Loader (CAT 966H),7.3,24321,616.2,34.5,8.8,25.8,95.2,89.9,616.2,8.8,62,Warning / Inspection Due,210.0,86956,24.8,29,True
CRU-01-01,MOIL-DB-01,Dongri Buzurg Mine,CRU,Primary Crushing & Screening Plant,2.4,8614,612.3,32.5,10.1,22.5,95.5,89.1,612.3,10.1,79,Warning / Inspection Due,450.0,206957,52.5,15,True
CRU-01-02,MOIL-DB-01,Dongri Buzurg Mine,CRU,Primary Crushing & Screening Plant,2.3,8402,616.3,25.1,3.8,21.3,96.5,88.7,616.3,3.8,88,Healthy,450.0,211600,52.7,11,True
LHD-01-01,MOIL-DB-01,Dongri Buzurg Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),2.0,7401,623.7,21.2,0.2,21.0,97.1,89.3,623.7,0.2,85,Healthy,220.0,103987,27.1,27,True
LHD-01-02,MOIL-DB-01,Dongri Buzurg Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),5.5,18426,588.3,76.6,50.7,25.8,89.4,91.4,73.5,6.3,35,High Breakdown Risk,220.0,99916,25.3,4,True
LHD-01-03,MOIL-DB-01,Dongri Buzurg Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),6.6,21695,553.3,88.1,59.6,28.5,87.8,87.6,61.5,6.6,35,High Breakdown Risk,220.0,92767,27.1,19,True
LHD-01-04,MOIL-DB-01,Dongri Buzurg Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),3.2,10677,649.1,26.2,2.1,24.0,96.4,93.6,649.1,2.1,79,Warning / Inspection Due,220.0,105626,25.8,36,True
LHD-01-05,MOIL-DB-01,Dongri Buzurg Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),4.6,16274,632.0,35.6,2.9,32.8,95.1,92.3,632.0,2.9,73,Warning / Inspection Due,220.0,109012,27.3,29,True
LHD-01-06,MOIL-DB-01,Dongri Buzurg Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),8.0,26430,614.8,32.3,9.4,22.9,95.5,89.4,614.8,9.4,56,High Breakdown Risk,220.0,104037,23.9,18,True
EXC-03-01,MOIL-BL-03,Balaghat Mine,EXC,Hydraulic Excavator (Komatsu PC300),6.1,20046,629.0,35.0,0.6,34.4,95.1,91.8,629.0,0.6,73,Warning / Inspection Due,280.0,138042,36.4,7,True
EXC-03-02,MOIL-BL-03,Balaghat Mine,EXC,Hydraulic Excavator (Komatsu PC300),5.1,17010,627.9,45.3,10.8,34.5,93.7,93.1,627.9,10.8,64,Warning / Inspection Due,280.0,124487,35.3,14,True
EXC-03-03,MOIL-BL-03,Balaghat Mine,EXC,Hydraulic Excavator (Komatsu PC300),3.9,13148,645.1,32.5,2.5,30.0,95.5,93.8,645.1,2.5,76,Warning / Inspection Due,280.0,144553,32.2,9,True
EXC-03-04,MOIL-BL-03,Balaghat Mine,EXC,Hydraulic Excavator (Komatsu PC300),8.1,26127,634.4,31.3,8.3,23.0,95.7,92.1,634.4,8.3,56,High Breakdown Risk,280.0,121236,36.0,4,True
EXC-03-05,MOIL-BL-03,Balaghat Mine,EXC,Hydraulic Excavator (Komatsu PC300),3.1,11368,614.4,41.5,14.9,26.6,94.2,90.6,307.2,7.5,71,Warning / Inspection Due,280.0,142124,34.9,23,True
EXC-03-06,MOIL-BL-03,Balaghat Mine,EXC,Hydraulic Excavator (Komatsu PC300),2.9,10371,636.1,36.0,6.0,30.0,95.0,93.0,636.1,6.0,77,Warning / Inspection Due,280.0,127596,35.9,31,True
DMP-03-01,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),5.6,19039,557.0,91.0,60.5,30.5,87.4,88.6,55.7,6.1,35,High Breakdown Risk,140.0,63775,19.2,18,True
DMP-03-02,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),6.4,20925,623.5,24.8,2.9,21.9,96.6,89.7,623.5,2.9,66,Warning / Inspection Due,140.0,67074,15.4,4,True
DMP-03-03,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),3.2,10826,599.2,38.0,9.9,28.2,94.7,87.9,599.2,9.9,71,Warning / Inspection Due,140.0,55084,15.3,42,True
DMP-03-04,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),5.0,16787,592.8,70.6,46.3,24.3,90.2,91.3,84.7,6.6,35,High Breakdown Risk,140.0,65552,17.7,36,True
DMP-03-05,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),5.5,18976,615.1,37.8,14.4,23.4,94.8,90.2,307.6,7.2,63,Warning / Inspection Due,140.0,60159,18.8,4,True
DMP-03-06,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),3.3,11931,619.5,28.6,1.6,27.0,96.0,89.6,619.5,1.6,85,Healthy,140.0,72141,17.5,28,True
DMP-03-07,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),7.6,24578,620.9,42.8,10.1,32.7,94.1,91.7,620.9,10.1,56,High Breakdown Risk,140.0,62819,18.2,15,True
DMP-03-08,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),5.3,17245,599.5,34.1,0.7,33.5,95.3,87.4,599.5,0.7,77,Warning / Inspection Due,140.0,63613,15.6,18,True
DMP-03-09,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),5.5,18230,610.3,43.4,12.1,31.3,94.0,90.2,305.1,6.1,66,Warning / Inspection Due,140.0,66486,14.2,30,True
DMP-03-10,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),5.8,19646,613.2,33.4,6.7,26.7,95.4,89.3,613.2,6.7,66,Warning / Inspection Due,140.0,62073,19.1,33,True
DMP-03-11,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),3.1,9790,633.4,27.7,5.1,22.6,96.2,91.5,633.4,5.1,84,Healthy,140.0,63516,15.7,29,True
DMP-03-12,MOIL-BL-03,Balaghat Mine,DMP,Heavy Dumper (BEML BH35),6.2,20580,644.2,32.0,1.5,30.5,95.6,93.6,644.2,1.5,74,Warning / Inspection Due,140.0,70796,16.1,19,True
DRL-03-01,MOIL-BL-03,Balaghat Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),8.4,27086,590.3,49.6,16.9,32.7,93.1,88.1,295.1,8.5,47,High Breakdown Risk,180.0,74544,20.8,17,True
DRL-03-02,MOIL-BL-03,Balaghat Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),4.9,16939,647.4,24.9,3.3,21.6,96.5,93.1,647.4,3.3,75,Warning / Inspection Due,180.0,79870,22.4,29,True
DRL-03-03,MOIL-BL-03,Balaghat Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),7.0,23558,597.3,43.6,22.8,20.8,93.9,88.3,199.1,7.6,52,High Breakdown Risk,180.0,90449,21.6,37,True
DRL-03-04,MOIL-BL-03,Balaghat Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),7.3,23560,605.0,45.9,11.6,34.2,93.6,89.7,605.0,11.6,57,High Breakdown Risk,180.0,71719,20.9,34,True
LDR-03-01,MOIL-BL-03,Balaghat Mine,LDR,Front End Wheel Loader (CAT 966H),7.7,25144,602.0,34.2,9.6,24.6,95.2,87.8,602.0,9.6,63,Warning / Inspection Due,210.0,98903,27.2,15,True
LDR-03-02,MOIL-BL-03,Balaghat Mine,LDR,Front End Wheel Loader (CAT 966H),4.5,15606,581.2,96.7,76.2,20.5,86.6,93.2,48.4,6.3,35,High Breakdown Risk,210.0,88765,23.9,44,True
LDR-03-03,MOIL-BL-03,Balaghat Mine,LDR,Front End Wheel Loader (CAT 966H),2.9,9187,637.7,35.0,1.7,33.3,95.1,93.1,637.7,1.7,78,Warning / Inspection Due,210.0,104876,24.2,5,True
LDR-03-04,MOIL-BL-03,Balaghat Mine,LDR,Front End Wheel Loader (CAT 966H),6.1,20088,580.4,79.6,46.9,32.7,88.9,90.6,82.9,6.7,35,High Breakdown Risk,210.0,89787,27.3,10,True
LDR-03-05,MOIL-BL-03,Balaghat Mine,LDR,Front End Wheel Loader (CAT 966H),5.1,16460,602.9,40.9,17.3,23.6,94.3,88.8,301.4,8.6,63,Warning / Inspection Due,210.0,101280,26.1,11,True
CRU-03-01,MOIL-BL-03,Balaghat Mine,CRU,Primary Crushing & Screening Plant,1.5,5363,594.8,48.8,20.1,28.7,93.2,88.6,198.3,6.7,78,Warning / Inspection Due,450.0,219531,56.6,36,True
CRU-03-02,MOIL-BL-03,Balaghat Mine,CRU,Primary Crushing & Screening Plant,6.4,21361,595.3,42.7,17.3,25.4,94.1,87.9,297.6,8.6,50,High Breakdown Risk,450.0,186975,54.8,39,True
LHD-03-01,MOIL-BL-03,Balaghat Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),5.9,19413,637.9,32.9,3.7,29.2,95.4,92.8,637.9,3.7,77,Warning / Inspection Due,220.0,107089,25.9,41,True
LHD-03-02,MOIL-BL-03,Balaghat Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),1.8,6109,650.4,23.4,0.5,22.9,96.8,93.4,650.4,0.5,89,Healthy,220.0,119479,28.5,3,True
LHD-03-03,MOIL-BL-03,Balaghat Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),6.1,20881,614.8,30.1,3.5,26.6,95.8,89.1,614.8,3.5,73,Warning / Inspection Due,220.0,96755,29.4,33,True
LHD-03-04,MOIL-BL-03,Balaghat Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),6.1,19677,565.5,88.2,59.9,28.3,87.8,89.5,62.8,6.7,35,High Breakdown Risk,220.0,82719,27.9,24,True
LHD-03-05,MOIL-BL-03,Balaghat Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),7.0,23335,582.9,84.0,63.6,20.4,88.3,91.7,58.3,6.4,35,High Breakdown Risk,220.0,90391,27.7,37,True
LHD-03-06,MOIL-BL-03,Balaghat Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),2.7,8482,581.9,50.2,24.4,25.9,93.0,86.9,145.5,6.1,61,Warning / Inspection Due,220.0,102990,26.2,38,True
EXC-02-01,MOIL-GM-02,Gumgaon Mine,EXC,Hydraulic Excavator (Komatsu PC300),4.9,15933,595.7,41.8,19.1,22.7,94.2,87.8,198.6,6.4,60,Warning / Inspection Due,280.0,122659,32.9,28,True
EXC-02-02,MOIL-GM-02,Gumgaon Mine,EXC,Hydraulic Excavator (Komatsu PC300),7.0,22546,609.0,53.1,31.0,22.1,92.6,91.3,121.8,6.2,39,High Breakdown Risk,280.0,111603,33.5,26,True
EXC-02-03,MOIL-GM-02,Gumgaon Mine,EXC,Hydraulic Excavator (Komatsu PC300),6.0,19667,637.1,33.5,6.2,27.4,95.3,92.8,637.1,6.2,72,Warning / Inspection Due,280.0,146113,33.3,19,True
EXC-02-04,MOIL-GM-02,Gumgaon Mine,EXC,Hydraulic Excavator (Komatsu PC300),5.8,18627,615.4,49.0,14.4,34.6,93.2,91.7,307.7,7.2,64,Warning / Inspection Due,280.0,132988,34.4,20,True
EXC-02-05,MOIL-GM-02,Gumgaon Mine,EXC,Hydraulic Excavator (Komatsu PC300),2.6,8913,624.7,33.2,2.8,30.4,95.4,91.0,624.7,2.8,85,Healthy,280.0,128308,34.2,26,True
EXC-02-06,MOIL-GM-02,Gumgaon Mine,EXC,Hydraulic Excavator (Komatsu PC300),2.4,8504,646.7,26.2,2.8,23.4,96.4,93.2,646.7,2.8,88,Healthy,280.0,118822,33.3,38,True
DMP-02-01,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),4.3,14543,601.9,39.6,5.8,33.9,94.5,88.5,601.9,5.8,76,Warning / Inspection Due,140.0,70311,17.9,41,True
DMP-02-02,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),7.7,26094,649.7,24.4,2.3,22.2,96.6,93.4,649.7,2.3,64,Warning / Inspection Due,140.0,71564,15.7,17,True
DMP-02-03,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),6.5,22165,618.5,46.7,19.8,27.0,93.5,91.9,206.2,6.6,50,High Breakdown Risk,140.0,68745,15.2,26,True
DMP-02-04,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),6.6,21464,636.2,32.8,1.2,31.6,95.4,92.6,636.2,1.2,74,Warning / Inspection Due,140.0,60372,17.5,28,True
DMP-02-05,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),6.3,21361,640.0,35.3,2.9,32.4,95.1,93.5,640.0,2.9,62,Warning / Inspection Due,140.0,62214,18.2,15,True
DMP-02-06,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),2.7,9121,638.2,33.6,0.3,33.3,95.3,93.0,638.2,0.3,88,Healthy,140.0,63471,12.2,44,True
DMP-02-07,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),6.2,21253,614.7,42.9,9.6,33.2,94.0,90.8,614.7,9.6,67,Warning / Inspection Due,140.0,67231,18.4,21,True
DMP-02-08,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),6.3,20478,619.5,44.6,16.3,28.3,93.8,91.7,309.8,8.2,55,High Breakdown Risk,140.0,71842,14.9,27,True
DMP-02-09,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),7.4,24438,586.6,52.6,27.7,24.9,92.7,87.9,146.7,6.9,42,High Breakdown Risk,140.0,56269,13.7,41,True
DMP-02-10,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),6.4,21800,637.9,25.2,4.2,21.0,96.5,91.8,637.9,4.2,72,Warning / Inspection Due,140.0,65152,16.9,14,True
DMP-02-11,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),4.1,14200,633.3,38.0,3.3,34.7,94.7,92.9,633.3,3.3,80,Healthy,140.0,61763,19.0,34,True
DMP-02-12,MOIL-GM-02,Gumgaon Mine,DMP,Heavy Dumper (BEML BH35),4.6,15848,596.8,41.2,19.5,21.7,94.3,87.9,198.9,6.5,62,Warning / Inspection Due,140.0,61791,17.8,11,True
DRL-02-01,MOIL-GM-02,Gumgaon Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),3.8,13459,615.6,49.5,22.2,27.2,93.1,91.8,205.2,7.4,62,Warning / Inspection Due,180.0,90097,22.8,4,True
DRL-02-02,MOIL-GM-02,Gumgaon Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),1.6,5553,620.0,33.4,1.3,32.1,95.4,90.3,620.0,1.3,90,Healthy,180.0,86539,22.2,27,True
DRL-02-03,MOIL-GM-02,Gumgaon Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),3.9,13200,636.7,40.5,7.1,33.3,94.4,93.7,636.7,7.1,78,Warning / Inspection Due,180.0,79490,22.9,24,True
DRL-02-04,MOIL-GM-02,Gumgaon Mine,DRL,Blast Hole Drill Rig (Atlas Copco ROC D7),6.4,21516,611.4,42.9,8.8,34.1,94.0,90.3,611.4,8.8,63,Warning / Inspection Due,180.0,88996,22.3,34,True
LDR-02-01,MOIL-GM-02,Gumgaon Mine,LDR,Front End Wheel Loader (CAT 966H),6.1,19624,604.2,30.2,1.5,28.7,95.8,87.6,604.2,1.5,68,Warning / Inspection Due,210.0,90599,26.0,29,True
LDR-02-02,MOIL-GM-02,Gumgaon Mine,LDR,Front End Wheel Loader (CAT 966H),5.7,19607,614.9,38.9,13.6,25.3,94.6,90.3,307.4,6.8,61,Warning / Inspection Due,210.0,92354,27.4,17,True
LDR-02-03,MOIL-GM-02,Gumgaon Mine,LDR,Front End Wheel Loader (CAT 966H),6.8,21852,604.7,28.1,5.8,22.3,96.1,87.4,604.7,5.8,65,Warning / Inspection Due,210.0,98552,24.7,29,True
LDR-02-04,MOIL-GM-02,Gumgaon Mine,LDR,Front End Wheel Loader (CAT 966H),6.8,22501,616.6,33.5,9.2,24.3,95.3,89.8,616.6,9.2,62,Warning / Inspection Due,210.0,109118,25.6,36,True
LDR-02-05,MOIL-GM-02,Gumgaon Mine,LDR,Front End Wheel Loader (CAT 966H),4.4,14660,587.5,51.5,21.4,30.1,92.8,87.9,195.8,7.1,57,High Breakdown Risk,210.0,88684,24.9,10,True
CRU-02-01,MOIL-GM-02,Gumgaon Mine,CRU,Primary Crushing & Screening Plant,7.8,25430,636.4,35.9,14.7,21.3,95.0,93.0,318.2,7.3,52,High Breakdown Risk,450.0,238626,55.6,43,True
CRU-02-02,MOIL-GM-02,Gumgaon Mine,CRU,Primary Crushing & Screening Plant,4.7,15451,638.6,27.4,6.8,20.5,96.2,92.2,638.6,6.8,71,Warning / Inspection Due,450.0,237517,53.8,38,True
LHD-02-01,MOIL-GM-02,Gumgaon Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),3.3,11637,607.3,37.8,12.7,25.0,94.8,89.0,303.6,6.4,71,Warning / Inspection Due,220.0,100332,26.1,21,True
LHD-02-02,MOIL-GM-02,Gumgaon Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),2.5,8630,588.3,54.8,23.9,31.0,92.4,88.4,196.1,8.0,65,Warning / Inspection Due,220.0,84642,27.7,41,True
LHD-02-03,MOIL-GM-02,Gumgaon Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),7.3,23806,629.7,43.7,14.5,29.2,93.9,93.1,314.9,7.2,51,High Breakdown Risk,220.0,111697,26.1,41,True
LHD-02-04,MOIL-GM-02,Gumgaon Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),5.4,17616,597.8,46.3,14.7,31.6,93.6,88.7,298.9,7.4,58,High Breakdown Risk,220.0,87424,27.8,9,True
LHD-02-05,MOIL-GM-02,Gumgaon Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),8.2,27123,580.5,56.9,23.4,33.5,92.1,87.5,193.5,7.8,42,High Breakdown Risk,220.0,88932,26.6,7,True
LHD-02-06,MOIL-GM-02,Gumgaon Mine,LHD,Underground Load Haul Dumper (Sandvik LH307),5.0,17212,630.4,48.7,19.1,29.6,93.2,93.9,210.1,6.4,59,High Breakdown Risk,220.0,93871,26.1,33,True
EXC-04-01,MOIL-UK-04,Ukwa Mine,EXC,Hydraulic Excavator (Komatsu PC300),6.8,22907,538.1,107.8,81.6,26.1,85.0,87.9,41.4,6.3,35,High Breakdown Risk,280.0,112746,31.7,12,True
EXC-04-02,MOIL-UK-04,Ukwa Mine,EXC,Hydraulic Excavator (Komatsu PC300),7.8,26186,637.6,28.0,6.0,22.0,96.1,92.1,637.6,6.0,63,Warning / Inspection Due,280.0,134009,34.2,7,True
EXC-04-03,MOIL-UK-04,Ukwa Mine,EXC,Hydraulic Excavator (Komatsu PC300),3.2,10902,636.5,31.8,8.1,23.7,95.6,92.5,636.5,8.1,79,Warning / Inspection Due,280.0,133402,31.2,38,True
EXC-04-04,MOIL-UK-04,Ukwa Mine,EXC,Hydraulic Excavator (Komatsu PC300),6.4,21433,630.6,23.9,3.0,20.8,96.7,90.6,630.6,3.0,69,Warning / Inspection Due,280.0,115691,32.7,10,True
EXC-04-05,MOIL-UK-04,Ukwa Mine,EXC,Hydraulic Excavator (Komatsu PC300),2.3,8473,642.1,24.6,3.4,21.2,96.6,92.3,642.1,3.4,90,Healthy,280.0,121172,34.9,35,True
EXC-04-06,MOIL-UK-04,Ukwa Mine,EXC,Hydraulic Excavator (Komatsu PC300),4.1,14119,604.3,40.8,8.9,31.9,94.3,89.0,604.3,8.9,73,Warning / Inspection Due,280.0,115606,32.8,43,True
DMP-04-01,MOIL-UK-04,Ukwa Mine,DMP,Heavy Dumper (BEML BH35),3.3,11160,626.2,23.8,1.8,22.0,96.7,89.9,626.2,1.8,77,Warning / Inspection Due,140.0,58481,16.6,33,True
DMP-04-02,MOIL-UK-04,Ukwa Mine,DMP,Heavy Dumper (BEML BH35),1.5,5617,639.2,34.5,8.0,26.5,95.2,93.2,639.2,8.0,82,Healthy,140.0,60579,18.4,26,True
DMP-04-03,MOIL-UK-04,Ukwa Mine,DMP,Heavy Dumper (BEML BH35),1.6,5715,605.6,44.8,11.1,33.7,93.8,89.7,605.6,11.1,78,Warning / Inspection Due,140.0,65349,15.8,20,True
DMP-04-04,MOIL-UK-04,Ukwa Mine,DMP,Heavy Dumper (BEML BH35),2.7,9951,650.3,26.6,1.8,24.8,96.3,93.8,650.3,1.8,83,Healthy,140.0,63417,18.2,15,True
DMP-04-05,MOIL-UK-04,Ukwa Mine,DMP,Heavy Dumper (BEML BH35),7.6,25157,634.9,34.7,3.1,31.6,95.2,92.6,634.9,3.1,69,Warning / Inspection Due,140.0,68165,13.9,5,True
