hole_id,mine_id,x,y,latitude,longitude,collar_elevation,depth_from,depth_to,sample_depth,sample_elevation,thickness,lithology,mn_grade,fe_grade,sio2,p_content,density,core_recovery_pct,sat_iron_oxide,sat_clay_index,is_synthetic
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,8.9,26.4,17.65,334.16,17.5,Phyllite & Weathered Overburden,6.28,5.57,45.12,0.1091,2.48,92.3,1.872,2.12,True
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,26.4,32.2,29.3,322.51,5.8,Quartz-Muscovite Schist,8.56,5.3,53.41,0.1776,2.99,95.0,1.801,2.385,True
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,32.2,37.4,34.8,317.01,5.2,Calc-Silicate Granulite,4.68,6.76,57.19,0.1576,2.76,90.0,2.038,2.586,True
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,37.4,40.8,39.1,312.71,3.4,Quartz-Muscovite Schist,8.84,3.97,52.92,0.176,2.94,89.6,1.762,2.401,True
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,40.8,45.4,43.1,308.71,4.6,Quartz-Muscovite Schist,9.31,4.76,54.06,0.0605,2.82,91.4,1.739,2.46,True
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,45.4,84.9,65.15,286.66,39.5,Calc-Silicate Granulite,2.49,4.28,70.56,0.133,2.86,99.0,1.86,2.6,True
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,84.9,126.6,105.75,246.06,41.7,Quartz-Muscovite Schist,2.0,6.96,53.49,0.0656,2.79,89.6,2.175,2.488,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,0.0,10.4,5.2,347.26,10.4,Phyllite & Weathered Overburden,6.5,5.19,58.47,0.1434,2.63,85.8,1.534,2.6,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,10.4,24.0,17.2,335.26,13.6,Phyllite & Weathered Overburden,5.21,8.82,66.65,0.0825,2.78,96.4,2.229,2.6,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,24.0,55.3,39.65,312.81,31.3,Calc-Silicate Granulite,10.05,4.97,52.6,0.1406,2.9,94.9,1.752,2.439,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,55.3,74.2,64.75,287.71,18.9,Quartz-Muscovite Schist,4.46,4.24,66.51,0.1549,3.05,88.7,1.462,2.6,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,74.2,92.3,83.25,269.21,18.1,Quartz-Muscovite Schist,10.51,6.0,66.52,0.1481,2.69,96.7,2.125,2.6,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,92.3,97.2,94.75,257.71,4.9,Quartz-Muscovite Schist,4.86,9.27,58.56,0.0514,3.01,99.0,2.318,2.512,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,97.2,126.4,111.8,240.66,29.2,Quartz-Muscovite Schist,4.58,5.3,64.8,0.1478,2.97,92.0,2.022,2.6,True
DH-01-006,MOIL-DB-01,359.46,-1084.66,21.538056,79.70769,352.46,126.4,147.5,136.95,215.51,21.1,Quartz-Muscovite Schist,6.14,9.21,57.72,0.0652,2.71,89.8,2.444,2.6,True
DH-01-007,MOIL-DB-01,772.46,494.98,21.552246,79.7117,309.07,0.0,14.0,7.0,302.07,14.0,Phyllite & Weathered Overburden,4.45,9.96,56.08,0.0816,2.68,86.1,2.475,2.423,True
DH-01-007,MOIL-DB-01,772.46,494.98,21.552246,79.7117,309.07,14.0,34.5,24.25,284.82,20.5,Gondite (Manganiferous Quartzite),21.3,11.24,38.14,0.2682,3.62,86.5,2.688,2.063,True
DH-01-007,MOIL-DB-01,772.46,494.98,21.552246,79.7117,309.07,35.1,51.2,43.15,265.92,16.1,Gondite (Manganiferous Quartzite),24.21,8.66,37.15,0.2073,3.64,93.9,2.397,1.966,True
DH-01-007,MOIL-DB-01,772.46,494.98,21.552246,79.7117,309.07,51.2,52.2,51.7,257.37,1.0,Banded Hematite-Manganese Quartzite,18.56,15.4,46.14,0.1706,3.58,99.0,3.019,2.122,True
DH-01-007,MOIL-DB-01,772.46,494.98,21.552246,79.7117,309.07,52.2,53.9,53.05,256.02,1.7,Gondite (Manganiferous Quartzite),30.46,8.46,34.07,0.1414,3.38,86.8,2.153,1.92,True
DH-01-007,MOIL-DB-01,772.46,494.98,21.552246,79.7117,309.07,53.9,59.3,56.6,252.47,5.4,Banded Hematite-Manganese Quartzite,20.98,10.13,33.29,0.172,3.45,88.8,2.725,1.702,True
DH-01-008,MOIL-DB-01,-1017.12,1057.28,21.557298,79.694325,325.83,0.0,5.2,2.6,323.23,5.2,Phyllite & Weathered Overburden,2.18,7.64,63.64,0.1486,2.46,98.8,2.094,2.547,True
DH-01-008,MOIL-DB-01,-1017.12,1057.28,21.557298,79.694325,325.83,5.2,47.6,26.4,299.43,42.4,Phyllite & Weathered Overburden,8.79,10.89,64.28,0.0916,2.57,93.3,2.546,2.6,True
DH-01-008,MOIL-DB-01,-1017.12,1057.28,21.557298,79.694325,325.83,47.6,98.7,73.15,252.68,51.1,Quartz-Muscovite Schist,11.96,6.89,66.92,0.1728,2.99,84.0,2.106,2.6,True
DH-01-008,MOIL-DB-01,-1017.12,1057.28,21.557298,79.694325,325.83,98.7,106.3,102.5,223.33,7.6,Calc-Silicate Granulite,11.52,7.24,55.03,0.1373,2.9,93.2,1.981,2.442,True
DH-01-008,MOIL-DB-01,-1017.12,1057.28,21.557298,79.694325,325.83,106.3,113.9,110.1,215.73,7.6,Quartz-Muscovite Schist,6.96,8.97,62.14,0.1229,3.0,90.7,2.628,2.573,True
DH-01-009,MOIL-DB-01,-1130.92,612.33,21.553301,79.69322,336.02,0.0,70.7,35.35,300.67,70.7,Phyllite & Weathered Overburden,2.64,10.08,57.59,0.0896,2.76,96.8,2.494,2.357,True
DH-01-009,MOIL-DB-01,-1130.92,612.33,21.553301,79.69322,336.02,70.7,77.5,74.1,261.92,6.8,Quartz-Muscovite Schist,10.34,8.38,51.46,0.056,2.9,89.0,2.345,2.255,True
DH-01-009,MOIL-DB-01,-1130.92,612.33,21.553301,79.69322,336.02,77.5,78.7,78.1,257.92,1.2,Quartz-Muscovite Schist,5.09,6.76,60.12,0.126,2.81,88.2,1.909,2.6,True
DH-01-009,MOIL-DB-01,-1130.92,612.33,21.553301,79.69322,336.02,78.7,81.1,79.9,256.12,2.4,Quartz-Muscovite Schist,6.91,9.81,63.24,0.0791,2.98,85.5,2.678,2.579,True
DH-01-009,MOIL-DB-01,-1130.92,612.33,21.553301,79.69322,336.02,81.1,115.1,98.1,237.92,34.0,Calc-Silicate Granulite,7.26,6.74,57.83,0.1662,2.7,91.8,1.86,2.436,True
DH-01-009,MOIL-DB-01,-1130.92,612.33,21.553301,79.69322,336.02,115.1,125.0,120.05,215.97,9.9,Quartz-Muscovite Schist,6.87,4.1,58.3,0.0503,3.0,88.1,1.577,2.584,True
DH-01-009,MOIL-DB-01,-1130.92,612.33,21.553301,79.69322,336.02,125.0,127.4,126.2,209.82,2.4,Quartz-Muscovite Schist,7.13,9.47,55.19,0.1488,2.86,96.3,2.346,2.49,True
DH-01-010,MOIL-DB-01,599.08,-1126.87,21.537677,79.710016,348.36,0.0,1.8,0.9,347.46,1.8,Phyllite & Weathered Overburden,4.29,5.84,65.48,0.1053,2.67,99.0,2.0,2.6,True
DH-01-010,MOIL-DB-01,599.08,-1126.87,21.537677,79.710016,348.36,1.8,18.8,10.3,338.06,17.0,Phyllite & Weathered Overburden,2.61,8.76,58.5,0.122,2.57,99.0,2.237,2.505,True
DH-01-010,MOIL-DB-01,599.08,-1126.87,21.537677,79.710016,348.36,18.8,21.6,20.2,328.16,2.8,Quartz-Muscovite Schist,5.24,9.91,63.33,0.0808,2.69,88.9,2.242,2.6,True
DH-01-010,MOIL-DB-01,599.08,-1126.87,21.537677,79.710016,348.36,21.6,24.0,22.8,325.56,2.4,Calc-Silicate Granulite,3.46,5.0,53.81,0.1666,2.68,94.0,1.449,2.506,True
DH-01-010,MOIL-DB-01,599.08,-1126.87,21.537677,79.710016,348.36,24.0,28.7,26.35,322.01,4.7,Quartz-Muscovite Schist,10.08,4.81,53.76,0.1369,3.02,99.0,1.788,2.6,True
DH-01-010,MOIL-DB-01,599.08,-1126.87,21.537677,79.710016,348.36,28.7,33.6,31.15,317.21,4.9,Calc-Silicate Granulite,9.58,4.31,57.12,0.1053,2.85,84.4,1.67,2.501,True
DH-01-010,MOIL-DB-01,599.08,-1126.87,21.537677,79.710016,348.36,33.6,89.0,61.3,287.06,55.4,Quartz-Muscovite Schist,3.12,6.37,61.72,0.0567,2.78,95.8,2.116,2.6,True
DH-01-011,MOIL-DB-01,435.61,624.55,21.55341,79.708429,334.78,0.0,10.9,5.45,329.33,10.9,Gondite (Manganiferous Quartzite),20.67,11.03,46.31,0.2643,3.23,95.8,2.666,2.273,True
DH-01-011,MOIL-DB-01,435.61,624.55,21.55341,79.708429,334.78,10.9,41.6,26.25,308.53,30.7,High-Grade Braunite Ore,42.73,5.43,12.83,0.1614,4.29,89.5,2.002,1.096,True
DH-01-011,MOIL-DB-01,435.61,624.55,21.55341,79.708429,334.78,41.6,76.0,58.8,275.98,34.4,High-Grade Braunite Ore,47.17,9.0,17.49,0.1464,3.99,95.4,2.046,1.499,True
DH-01-011,MOIL-DB-01,435.61,624.55,21.55341,79.708429,334.78,76.0,80.9,78.45,256.33,4.9,Medium-Grade Pyrolusite Bed,32.31,5.65,16.51,0.129,3.92,99.0,2.043,1.481,True
DH-01-011,MOIL-DB-01,435.61,624.55,21.55341,79.708429,334.78,80.9,86.7,83.8,250.98,5.8,High-Grade Braunite Ore,40.39,9.49,19.03,0.1731,4.21,91.7,2.333,1.401,True
DH-01-011,MOIL-DB-01,435.61,624.55,21.55341,79.708429,334.78,86.7,95.0,90.85,243.93,8.3,Gondite (Manganiferous Quartzite),19.34,12.29,33.71,0.2114,3.53,92.9,3.013,2.181,True
DH-01-011,MOIL-DB-01,435.61,624.55,21.55341,79.708429,334.78,95.0,101.9,98.45,236.33,6.9,Gondite (Manganiferous Quartzite),23.32,14.18,25.28,0.2397,3.51,86.1,3.08,1.779,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,0.0,2.7,1.35,334.4,2.7,Phyllite & Weathered Overburden,8.46,9.95,48.51,0.1034,2.64,89.4,2.342,2.445,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,2.7,76.0,39.35,296.4,73.3,High-Grade Braunite Ore,40.18,5.07,21.82,0.1942,3.78,94.6,1.95,1.777,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,76.0,84.9,80.45,255.3,8.9,High-Grade Braunite Ore,39.95,8.51,10.06,0.1134,3.96,92.4,2.2,1.27,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,84.9,91.9,88.4,247.35,7.0,Banded Hematite-Manganese Quartzite,22.51,13.9,35.4,0.1649,3.45,78.5,2.901,1.884,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,91.9,104.7,98.3,237.45,12.8,Gondite (Manganiferous Quartzite),22.71,12.64,39.54,0.1226,3.56,86.5,2.772,2.003,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,104.7,131.1,117.9,217.85,26.4,Calc-Silicate Granulite,11.97,6.52,63.1,0.0587,2.95,89.1,2.044,2.6,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,131.1,140.1,135.6,200.15,9.0,Calc-Silicate Granulite,6.46,6.95,51.45,0.1508,2.83,97.5,1.987,2.105,True
DH-01-012,MOIL-DB-01,-183.37,-508.97,21.543228,79.70242,335.75,140.1,150.3,145.2,190.55,10.2,Quartz-Muscovite Schist,7.38,4.09,54.0,0.162,3.03,86.4,1.5,2.365,True
DH-01-013,MOIL-DB-01,-1139.07,-825.23,21.540387,79.693141,340.8,0.0,24.0,12.0,328.8,24.0,Phyllite & Weathered Overburden,6.17,7.37,58.1,0.1376,2.62,95.1,2.385,2.6,True
DH-01-013,MOIL-DB-01,-1139.07,-825.23,21.540387,79.693141,340.8,24.0,31.1,27.55,313.25,7.1,Quartz-Muscovite Schist,7.83,8.65,71.18,0.1728,2.71,93.2,2.027,2.6,True
DH-01-013,MOIL-DB-01,-1139.07,-825.23,21.540387,79.693141,340.8,31.1,61.9,46.5,294.3,30.8,Gondite (Manganiferous Quartzite),29.03,8.98,45.16,0.2486,3.59,95.7,2.215,2.213,True
DH-01-013,MOIL-DB-01,-1139.07,-825.23,21.540387,79.693141,340.8,61.9,67.6,64.75,276.05,5.7,Banded Hematite-Manganese Quartzite,28.73,10.9,25.79,0.2861,3.39,90.2,2.469,1.762,True
DH-01-013,MOIL-DB-01,-1139.07,-825.23,21.540387,79.693141,340.8,67.6,122.5,95.05,245.75,54.9,Quartz-Muscovite Schist,9.69,3.8,62.45,0.1781,2.84,85.3,1.746,2.6,True
DH-01-014,MOIL-DB-01,29.9,580.05,21.553011,79.70449,339.94,0.0,13.1,6.55,333.39,13.1,Phyllite & Weathered Overburden,3.2,6.91,45.42,0.1406,2.45,99.0,1.819,2.253,True
DH-01-014,MOIL-DB-01,29.9,580.05,21.553011,79.70449,339.94,13.1,49.6,31.35,308.59,36.5,Gondite (Manganiferous Quartzite),20.68,8.09,28.15,0.3,3.68,99.0,2.319,1.866,True
DH-01-014,MOIL-DB-01,29.9,580.05,21.553011,79.70449,339.94,49.6,78.7,64.15,275.79,29.1,High-Grade Braunite Ore,34.06,7.09,10.56,0.0866,4.18,88.2,1.895,1.22,True
DH-01-014,MOIL-DB-01,29.9,580.05,21.553011,79.70449,339.94,78.7,92.8,85.75,254.19,14.1,Banded Hematite-Manganese Quartzite,23.06,10.31,33.18,0.2638,3.36,94.5,2.346,2.111,True
DH-01-014,MOIL-DB-01,29.9,580.05,21.553011,79.70449,339.94,92.8,94.3,93.55,246.39,1.5,Gondite (Manganiferous Quartzite),20.79,8.25,31.03,0.239,3.23,91.5,2.259,2.043,True
DH-01-015,MOIL-DB-01,-397.81,650.19,21.553641,79.700338,310.33,0.0,24.1,12.05,298.28,24.1,Phyllite & Weathered Overburden,2.53,5.54,45.05,0.1464,2.4,95.3,1.847,2.121,True
DH-01-015,MOIL-DB-01,-397.81,650.19,21.553641,79.700338,310.33,24.1,26.8,25.45,284.88,2.7,Quartz-Muscovite Schist,2.41,9.71,66.68,0.1331,2.95,98.8,2.565,2.6,True
DH-01-015,MOIL-DB-01,-397.81,650.19,21.553641,79.700338,310.33,26.8,34.9,30.85,279.48,8.1,Quartz-Muscovite Schist,10.99,7.53,65.25,0.0567,2.92,82.2,2.156,2.6,True
DH-01-015,MOIL-DB-01,-397.81,650.19,21.553641,79.700338,310.33,34.9,41.1,38.0,272.33,6.2,Calc-Silicate Granulite,9.18,4.35,52.54,0.1048,2.97,78.4,1.702,2.537,True
DH-01-015,MOIL-DB-01,-397.81,650.19,21.553641,79.700338,310.33,41.1,58.3,49.7,260.63,17.2,Gondite (Manganiferous Quartzite),26.45,10.92,37.9,0.2162,3.69,99.0,2.185,2.113,True
DH-01-016,MOIL-DB-01,729.54,92.16,21.548628,79.711283,338.08,0.0,3.2,1.6,336.48,3.2,Phyllite & Weathered Overburden,8.09,5.15,65.12,0.0982,2.78,88.6,1.558,2.6,True
DH-01-016,MOIL-DB-01,729.54,92.16,21.548628,79.711283,338.08,3.2,30.6,16.9,321.18,27.4,Phyllite & Weathered Overburden,4.81,8.36,59.43,0.1361,2.79,99.0,2.178,2.6,True
DH-01-016,MOIL-DB-01,729.54,92.16,21.548628,79.711283,338.08,30.6,80.8,55.7,282.38,50.2,Banded Hematite-Manganese Quartzite,19.44,10.84,31.61,0.1793,3.33,93.2,2.476,1.8,True
DH-01-016,MOIL-DB-01,729.54,92.16,21.548628,79.711283,338.08,80.8,116.2,98.5,239.58,35.4,Quartz-Muscovite Schist,8.64,4.53,70.9,0.1522,2.69,91.8,1.914,2.6,True
DH-01-016,MOIL-DB-01,729.54,92.16,21.548628,79.711283,338.08,116.2,131.2,123.7,214.38,15.0,Quartz-Muscovite Schist,3.25,9.94,55.1,0.1726,2.91,99.0,2.543,2.503,True
DH-01-017,MOIL-DB-01,-646.39,-776.33,21.540826,79.697924,316.02,0.0,15.3,7.65,308.37,15.3,Phyllite & Weathered Overburden,5.68,6.82,56.85,0.094,2.8,98.9,2.04,2.6,True
DH-01-017,MOIL-DB-01,-646.39,-776.33,21.540826,79.697924,316.02,15.3,36.5,25.9,290.12,21.2,Banded Hematite-Manganese Quartzite,29.63,14.88,35.52,0.1982,3.35,91.8,3.163,1.854,True
DH-01-017,MOIL-DB-01,-646.39,-776.33,21.540826,79.697924,316.02,36.5,42.1,39.3,276.72,5.6,High-Grade Braunite Ore,40.26,9.16,18.82,0.105,3.86,88.8,2.317,1.442,True
DH-01-017,MOIL-DB-01,-646.39,-776.33,21.540826,79.697924,316.02,42.1,44.4,43.25,272.77,2.3,High-Grade Braunite Ore,40.65,9.03,16.86,0.1659,4.05,95.2,2.484,1.423,True
DH-01-017,MOIL-DB-01,-646.39,-776.33,21.540826,79.697924,316.02,44.4,56.5,50.45,265.57,12.1,High-Grade Braunite Ore,39.18,5.29,11.92,0.1134,3.86,95.0,1.943,1.148,True
DH-01-017,MOIL-DB-01,-646.39,-776.33,21.540826,79.697924,316.02,56.5,58.3,57.4,258.62,1.8,High-Grade Braunite Ore,40.35,8.9,10.06,0.1912,3.85,93.7,2.395,1.344,True
DH-01-017,MOIL-DB-01,-646.39,-776.33,21.540826,79.697924,316.02,58.3,70.5,64.4,251.62,12.2,Medium-Grade Pyrolusite Bed,42.78,5.08,14.52,0.0615,4.23,88.6,1.551,1.276,True
DH-01-018,MOIL-DB-01,-1155.77,-162.62,21.546339,79.692979,347.01,0.0,6.3,3.15,343.86,6.3,Phyllite & Weathered Overburden,6.96,5.47,58.39,0.078,2.65,99.0,1.8,2.6,True
DH-01-018,MOIL-DB-01,-1155.77,-162.62,21.546339,79.692979,347.01,6.3,9.5,7.9,339.11,3.2,Phyllite & Weathered Overburden,6.78,8.12,51.29,0.1497,2.57,91.1,2.205,2.243,True
DH-01-018,MOIL-DB-01,-1155.77,-162.62,21.546339,79.692979,347.01,9.5,28.0,18.75,328.26,18.5,Phyllite & Weathered Overburden,7.56,9.86,50.08,0.0491,2.67,95.3,2.24,2.418,True
DH-01-018,MOIL-DB-01,-1155.77,-162.62,21.546339,79.692979,347.01,28.0,64.1,46.05,300.96,36.1,Quartz-Muscovite Schist,8.2,5.78,56.03,0.1779,2.81,93.8,1.908,2.477,True
DH-01-018,MOIL-DB-01,-1155.77,-162.62,21.546339,79.692979,347.01,64.1,86.8,75.45,271.56,22.7,Calc-Silicate Granulite,1.83,7.56,58.11,0.1624,2.84,94.8,2.197,2.6,True
DH-01-018,MOIL-DB-01,-1155.77,-162.62,21.546339,79.692979,347.01,87.3,93.1,90.2,256.81,5.8,Quartz-Muscovite Schist,8.08,3.92,50.72,0.1697,2.9,99.0,1.757,2.34,True
DH-01-019,MOIL-DB-01,-918.46,-899.55,21.539719,79.695283,339.28,0.0,15.7,7.85,331.43,15.7,Phyllite & Weathered Overburden,5.03,11.89,48.44,0.0911,2.67,96.5,2.736,2.277,True
DH-01-019,MOIL-DB-01,-918.46,-899.55,21.539719,79.695283,339.28,15.7,22.0,18.85,320.43,6.3,Gondite (Manganiferous Quartzite),30.38,15.26,41.66,0.2698,3.28,87.4,3.299,2.107,True
DH-01-019,MOIL-DB-01,-918.46,-899.55,21.539719,79.695283,339.28,22.0,31.7,26.85,312.43,9.7,Banded Hematite-Manganese Quartzite,24.27,9.68,32.96,0.2752,3.72,89.6,2.42,1.764,True
DH-01-019,MOIL-DB-01,-918.46,-899.55,21.539719,79.695283,339.28,31.7,57.5,44.6,294.68,25.8,Banded Hematite-Manganese Quartzite,30.71,9.61,40.94,0.2843,3.22,92.7,2.562,2.105,True
DH-01-019,MOIL-DB-01,-918.46,-899.55,21.539719,79.695283,339.28,57.5,63.4,60.45,278.83,5.9,Medium-Grade Pyrolusite Bed,41.24,7.58,17.36,0.1078,4.31,94.6,2.28,1.41,True
DH-01-019,MOIL-DB-01,-918.46,-899.55,21.539719,79.695283,339.28,63.4,97.3,80.35,258.93,33.9,Gondite (Manganiferous Quartzite),25.96,11.88,40.2,0.2306,3.53,99.0,2.669,2.198,True
DH-01-020,MOIL-DB-01,223.87,360.71,21.55104,79.706373,328.96,0.0,21.4,10.7,318.26,21.4,Gondite (Manganiferous Quartzite),27.35,9.83,47.92,0.315,3.56,86.9,2.359,2.33,True
DH-01-020,MOIL-DB-01,223.87,360.71,21.55104,79.706373,328.96,21.4,39.7,30.55,298.41,18.3,Medium-Grade Pyrolusite Bed,44.32,8.14,18.91,0.1281,3.92,99.0,2.2,1.284,True
DH-01-020,MOIL-DB-01,223.87,360.71,21.55104,79.706373,328.96,39.7,58.7,49.2,279.76,19.0,High-Grade Braunite Ore,44.28,9.0,15.06,0.1043,4.09,98.9,2.32,1.478,True
DH-01-020,MOIL-DB-01,223.87,360.71,21.55104,79.706373,328.96,58.7,77.6,68.15,260.81,18.9,High-Grade Braunite Ore,41.91,9.05,12.16,0.098,4.33,90.5,2.228,1.28,True
DH-01-020,MOIL-DB-01,223.87,360.71,21.55104,79.706373,328.96,77.6,93.0,85.3,243.66,15.4,High-Grade Braunite Ore,42.4,6.73,16.18,0.1175,4.09,86.4,1.985,1.326,True
DH-01-020,MOIL-DB-01,223.87,360.71,21.55104,79.706373,328.96,93.0,114.9,103.95,225.01,21.9,Gondite (Manganiferous Quartzite),21.36,13.25,32.48,0.2747,3.27,92.4,2.85,1.876,True
